Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,1,6,0,3,7,8,2,1,0,0
Bayern,0,1,10,25,16,14,29,30,1,2,3,1
Berlin,0,0,0,0,1,1,4,1,1,0,1,0
Brandenburg,0,0,8,30,103,70,116,133,34,15,3,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,2,0,6,9,9,51,41,17,3,2,0
Mecklenburg-Vorpommern,0,0,0,6,4,11,16,25,8,11,2,4
Niedersachsen,0,1,6,10,35,17,57,23,16,2,1,0
Nordrhein-Westfalen,0,0,1,6,6,19,56,47,17,6,2,0
Rheinland-Pfalz,0,0,0,0,3,3,17,11,2,3,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,1,2,1,9,31,21,61,55,19,9,1,1
Sachsen-Anhalt,1,0,4,3,29,22,72,19,13,9,0,0
Schleswig-Holstein,0,0,0,0,0,1,5,1,0,0,0,0
Thüringen,0,0,0,1,4,4,19,11,3,1,0,0
Frueheres Bundesgebiet,0,4,18,53,70,67,226,162,56,17,9,1
Neue Laender,2,2,13,49,171,128,284,243,77,45,6,5
Deutschland,2,6,31,102,241,195,510,405,133,62,15,6
