Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,6,"2.01",10,"2.35",2,"2.00",1,"0.00",9,"0.83",28,"7.19"
Bayern,13,"3.10",7,"0.70",75,"94.45",4,"0.92",33,"14.10",132,"113.27"
Berlin,0,"0.00",9,"0.79",0,"0.00",0,"0.00",0,"0.00",9,"0.79"
Brandenburg,92,"22.46",126,"322.90",22,"280.16",33,"11.67",239,"1036.90",512,"1674.09"
Bremen,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hamburg,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hessen,45,"2.83",22,"3.15",0,"0.00",3,"0.12",70,"10.24",140,"16.34"
Mecklenburg-Vorpommern,4,"0.34",36,"6.78",2,"1.25",2,"0.05",43,"21.46",87,"29.88"
Niedersachsen,0,"0.00",0,"0.00",29,"22.55",20,"1.60",119,"7.03",168,"31.18"
Nordrhein-Westfalen,22,"10.88",51,"7.58",1,"0.01",1,"0.04",85,"20.90",160,"39.41"
Rheinland-Pfalz,2,"0.30",14,"1.07",0,"0.00",0,"0.00",23,"3.56",39,"4.93"
Saarland,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Sachsen,15,"218.56",122,"18.82",2,"0.29",11,"61.69",61,"6.16",211,"305.52"
Sachsen-Anhalt,21,"4.43",32,"74.61",1,"1.00",5,"2.16",113,"31.66",172,"113.86"
Schleswig-Holstein,0,"0.00",0,"0.00",0,"0.00",0,"0.00",7,"1.11",7,"1.11"
Thüringen,1,"0.04",7,"2.82",1,"0.01",0,"0.00",34,"8.37",43,"11.24"
Früheres Bundesgebiet,88,"19.12",113,"15.64",107,"119.01",29,"2.68",346,"57.77",683,"214.22"
Neue Länder,133,"245.83",323,"425.93",28,"282.71",51,"75.57",490,"1104.55",1.025,"2134.59"
Deutschland,221,"264.95",436,"441.57",135,"401.72",80,"78.25",836,"1162.32",1.708,"2348.81"
