Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,6,"0.77",24,"7.44",2,"0.20",3,"7.50",16,"3.38",51,"19.29"
Bayern,4,"0.14",13,"2.58",38,"24.40",0,"0.00",16,"9.36",71,"36.48"
Berlin,4,"0.07",0,"0.00",0,"0.00",0,"0.00",1,"0.01",5,"0.08"
Brandenburg,83,"10.22",67,"6.45",16,"3.07",18,"2.69",118,"96.28",302,"118.71"
Bremen,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hamburg,0,"0.00",1,"0.02",0,"0.00",0,"0.00",0,"0.00",1,"0.02"
Hessen,34,"3.16",19,"0.87",0,"0.00",0,"0.00",50,"22.09",103,"26.12"
Mecklenburg-Vorpommern,11,"1.81",19,"0.71",1,"0.05",2,"0.01",14,"3.52",47,"6.10"
Niedersachsen,15,"11.49",21,"0.70",2,"0.07",1,"0.03",232,"17.80",271,"30.09"
Nordrhein-Westfalen,37,"8.23",29,"30.34",4,"0.05",0,"0.00",159,"24.21",229,"62.83"
Rheinland-Pfalz,23,"3.09",15,"4.31",0,"0.00",3,"1.06",27,"5.80",68,"14.26"
Saarland,0,"0.00",5,"0.89",0,"0.00",0,"0.00",3,"1.50",8,"2.39"
Sachsen,11,"0.26",83,"29.28",2,"0.13",2,"0.03",15,"3.06",113,"32.76"
Sachsen-Anhalt,19,"1.21",7,"1.39",0,"0.00",0,"0.00",28,"6.29",54,"8.89"
Schleswig-Holstein,0,"0.00",0,"0.00",0,"0.00",0,"0.00",1,"0.60",1,"0.60"
Thüringen,6,"0.36",6,"0.58",0,"0.00",3,"0.57",21,"7.53",36,"9.04"
Früheres Bundesgebiet,123,"26.95",127,"47.15",46,"24.72",7,"8.59",505,"84.75",808,"192.16"
Neue Länder,130,"13.86",182,"38.41",19,"3.25",25,"3.30",196,"116.68",552,"175.50"
Deutschland,253,"40.81",309,"85.56",65,"27.97",32,"11.89",701,"201.43",1.360,"367.66"
