Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,1,17,6,9,6,10,0,2,0,0
Bayern,0,0,4,29,9,4,17,6,2,0,0,0
Berlin,0,0,0,0,1,2,1,1,0,0,0,0
Brandenburg,0,1,5,94,43,52,26,61,19,1,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,1,0,0,0,0,0,0,0
Hessen,0,0,4,35,14,6,11,21,11,0,1,0
Mecklenburg-Vorpommern,0,0,1,14,11,6,3,10,1,1,0,0
Niedersachsen,2,3,9,67,46,41,16,66,14,2,3,2
Nordrhein-Westfalen,1,0,6,82,29,30,25,30,17,4,3,2
Rheinland-Pfalz,0,0,0,6,6,10,11,21,12,2,0,0
Saarland,0,0,0,1,2,0,2,3,0,0,0,0
Sachsen,0,1,4,35,17,10,23,13,8,1,0,1
Sachsen-Anhalt,0,0,1,14,4,10,12,8,5,0,0,0
Schleswig-Holstein,0,0,0,0,0,1,0,0,0,0,0,0
Thüringen,0,0,2,18,0,1,3,5,4,2,1,0
Frueheres Bundesgebiet,3,3,24,237,114,103,89,158,56,10,7,4
Neue Laender,0,2,13,175,75,79,67,97,37,5,1,1
Deutschland,3,5,37,412,189,182,156,255,93,15,8,5
