,"Jan","Feb","Mär","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez"
Baden-Württemberg,"0,00","0,00","0,05","14,06","0,18","1,16","3,25","0,49","0,00","0,10","0,00","0,00"
Bayern,"0,00","0,00","5,25","18,00","4,27","2,03","4,96","0,92","1,05","0,00","0,00","0,00"
Berlin,"0,00","0,00","0,00","0,00","0,01","0,04","0,02","0,01","0,00","0,00","0,00","0,00"
Brandenburg,"0,00","0,05","0,54","15,06","84,81","6,71","1,49","8,50","1,55","0,00","0,00","0,00"
Bremen,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Hamburg,"0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Hessen,"0,00","0,00","0,07","3,43","0,81","0,40","0,67","20,42","0,31","0,00","0,01","0,00"
Mecklenburg-Vorpommern,"0,00","0,00","0,00","2,90","2,36","0,12","0,00","0,72","0,00","0,00","0,00","0,00"
Niedersachsen,"0,02","0,03","0,36","3,66","5,51","2,59","0,20","16,61","1,02","0,02","0,03","0,04"
Nordrhein-Westfalen,"0,01","0,00","1,31","43,11","4,67","6,27","3,05","3,01","1,26","0,05","0,06","0,03"
Rheinland-Pfalz,"0,00","0,00","0,00","2,80","1,60","1,87","2,29","3,33","2,26","0,11","0,00","0,00"
Saarland,"0,00","0,00","0,00","0,30","1,00","0,00","0,40","0,69","0,00","0,00","0,00","0,00"
Sachsen,"0,00","0,00","0,04","2,31","0,63","3,21","3,41","22,51","0,65","0,00","0,00","0,00"
Sachsen-Anhalt,"0,00","0,00","0,01","2,70","0,19","3,14","1,10","1,50","0,25","0,00","0,00","0,00"
Schleswig-Holstein,"0,00","0,00","0,00","0,00","0,00","0,60","0,00","0,00","0,00","0,00","0,00","0,00"
Thüringen,"0,00","0,00","0,02","4,09","0,00","0,50","0,98","0,29","3,05","0,10","0,01","0,00"
Früheres Bundesgebiet,"0,03","0,03","7,04","85,36","18,07","14,96","14,84","45,48","5,90","0,28","0,10","0,07"
Neue Länder,"0,00","0,05","0,61","27,06","87,99","13,68","6,98","33,52","5,50","0,10","0,01","0,00"
Deutschland,"0,03","0,08","7,65","112,42","106,06","28,64","21,82","79,00","11,40","0,38","0,11","0,07"
