,"Jan","Feb","Maer","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez"
Baden-Wuerttemberg,"0.0","0.0","0.1","2.4","0.0","0.0","1.1","0.5","0.1","0.0","0.0","0.0"
Bayern,"0.0","0.0","0.4","1.8","11.0","1.2","13.3","2.1","0.0","1.0","0.0","0.0"
Berlin,"0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","0.0","3.1","9.0","3.6","31.9","1.0","0.4","0.1","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.0","1.0","0.4","0.0","2.1","6.0","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.0","0.8","0.5","0.0","0.7","0.1","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.0","8.4","1.5","0.6","23.0","22.7","9.8","0.2","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.3","0.0","0.2","0.1","0.9","1.5","0.2","0.0","0.0","0.0"
Rheinland-Pfalz,"0.0","0.0","0.0","0.3","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.0","2.0","0.4","0.0","0.3","1.7","0.0","0.0","0.2","0.0"
Sachsen-Anhalt,"0.0","0.0","6.0","1.2","0.1","0.0","3.1","15.3","0.0","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","0.0","0.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Frueheres Bundesgebiet,"0.0","0.0","0.8","14.0","13.1","2.0","41.4","33.9","10.2","1.2","0.0","0.0"
Neue Laender,"0.0","0.0","6.0","7.9","9.9","3.6","36.0","18.1","0.5","0.1","0.2","0.0"
Deutschland,"0.0","0.0","6.8","21.9","23.0","5.5","77.4","52.0","10.6","1.3","0.2","0.0"
