Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,12,"1,0",5,"0,4",0,"0,0",4,"0,1",6,"2,6",27,"4,1"
Bayern,1,"0,0",8,"1,6",23,"18,5",2,"10,1",11,"0,7",45,"30,9"
Berlin,0,"0,0",0,"0,0",0,"0,0",0,"0,0",1,"1,0",1,"1,0"
Brandenburg,43,"4,5",49,"17,0",7,"15,4",9,"0,5",59,"11,5",167,"48,9"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,7,"1,7",6,"0,5",0,"0,0",0,"0,0",23,"7,3",36,"9,5"
Mecklenburg-Vorpommern,0,"0,0",8,"1,2",0,"0,0",0,"0,0",11,"0,9",19,"2,1"
Niedersachsen,6,"4,2",9,"5,3",22,"18,2",1,"0,2",53,"38,5",91,"66,4"
Nordrhein-Westfalen,4,"0,5",12,"1,3",3,"0,1",0,"0,0",17,"1,3",36,"3,2"
Rheinland-Pfalz,0,"0,0",7,"1,1",0,"0,0",0,"0,0",2,"0,2",9,"1,3"
Saarland,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Sachsen,15,"2,3",14,"0,6",0,"0,0",1,"1,5",8,"0,2",38,"4,6"
Sachsen-Anhalt,7,"0,7",3,"0,6",5,"19,0",1,"0,0",21,"5,5",37,"25,8"
Schleswig-Holstein,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Thüringen,0,"0,0",3,"0,1",0,"0,0",1,"0,0",5,"0,8",9,"0,8"
Früheres Bundesgebiet,30,"7,3",47,"10,4",48,"36,8",7,"10,4",113,"51,6",245,"116,5"
Neue Länder,65,"7,5",77,"19,4",12,"34,4",12,"2,0",104,"18,9",270,"82,2"
Deutschland,9 5,"14,8",1 24,"29,8",6 0,"71,2",19,"12,4",217,"70,5",515,"198,7"
