,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,0,1,5,0,0,13,6,1,0,1,0
Bayern,0,0,1,4,10,3,14,10,1,1,0,1
Berlin,0,0,0,0,0,0,1,0,0,0,0,0
Brandenburg,0,0,0,13,28,24,81,13,6,2,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,0,6,4,0,21,2,2,1,0,0
Mecklenburg-Vorpommern,0,0,0,2,3,1,8,4,1,0,0,0
Niedersachsen,0,0,0,25,4,7,26,21,7,1,0,0
Nordrhein-Westfalen,0,0,1,0,3,1,15,14,1,0,0,1
Rheinland-Pfalz,0,0,0,1,2,2,0,3,1,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,0,0,0,7,8,0,12,4,3,2,2,0
Sachsen-Anhalt,0,0,3,8,3,1,15,5,2,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thueringen,0,0,0,2,0,0,1,5,1,0,0,0
Frueheres Bundesgebiet,0,0,3,41,23,13,90,56,13,3,1,2
Neue Laender,0,0,3,32,42,26,117,31,13,4,2,0
Deutschland,0,0,6,73,65,39,207,87,26,7,3,2
