Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,1,0,0,42,6,2,4,1,1,0,0,0
Bayern,0,0,1,33,14,3,4,2,2,0,0,0
Berlin,0,0,1,9,3,2,0,0,0,0,0,0
Brandenburg,1,0,4,111,62,24,10,6,4,1,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,3,58,21,2,0,0,0,0,0,0
Mecklenburg-Vorpommern,0,0,0,8,4,4,2,2,0,0,0,0
Niedersachsen,0,0,6,32,0,0,0,6,0,0,0,0
Nordrhein-Westfalen,0,0,0,9,2,0,0,1,0,0,0,0
Rheinland-Pfalz,0,0,0,25,4,1,3,1,0,0,0,0
Saarland,0,0,1,3,0,0,0,0,0,0,0,0
Sachsen,0,0,4,68,35,16,4,9,1,0,0,0
Sachsen-Anhalt,0,1,3,28,22,5,9,3,0,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,0,0,1,11,4,1,1,1,0,0,0,0
Früheres Bundesgebiet,1,0,12,211,50,10,11,11,3,0,0,0
Neue Länder,1,1,12,226,127,50,26,21,5,1,0,0
Deutschland,2,1,24,437,177,60,37,32,8,1,0,0
