Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Württemberg,17,"3.2",21,"5.6",2,"0.1",1,"0.1",16,"2.5",57,"11.6"
Bayern,2,"3.2",13,"13.3",15,"21.6",0,"0.0",29,"37.7",59,"75.8"
Berlin,8,"1.1",5,"0.6",0,"0.0",0,"0.0",2,"0.9",15,"2.5"
Brandenburg,41,"13.1",81,"18.6",2,"5.0",9,"0.3",90,"16.3",223,"53.3"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,34,"3.2",14,"1.7",0,"0.0",0,"0.0",36,"11.3",84,"16.2"
Mecklenburg-Vorpommern,8,"3.5",4,"0.3",1,"1.0",1,"0.0",6,"0.4",20,"5.2"
Niedersachsen,13,"1.7",1,"0.3",5,"1.0",0,"0.0",25,"4.7",44,"7.7"
Nordrhein-Westfalen,0,"0.0",10,"2.9",0,"0.0",0,"0.0",2,"0.2",12,"3.1"
Rheinland-Pfalz,5,"2.2",13,"2.1",2,"2.9",0,"0.0",14,"2.5",34,"9.7"
Saarland,0,"0.0",1,"0.2",1,"0.2",0,"0.0",2,"0.4",4,"0.8"
Sachsen,22,"10.4",45,"11.4",1,"0.1",10,"2.0",59,"4.0",137,"27.8"
Sachsen-Anhalt,30,"3.8",11,"15.3",0,"0.0",0,"0.0",30,"15.5",71,"34.6"
Schleswig-Holstein,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Thüringen,7,"2.6",5,"2.6",1,"0.4",2,"0.0",4,"1.8",19,"7.5"
Frueheres Bundesgebiet,79,"14.6",78,"26.6",25,"25.8",1,"0.1",126,"60.1",309,"127.3"
Neue Laender,108,"33.4",146,"48.1",5,"6.5",22,"2.3",189,"38.0",470,"128.4"
Deutschland,187,"48.0",224,"74.7",30,"32.3",23,"2.4",315,"98.1",779,"255.6"
