Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","0.0","0.0","9.4","0.8","0.2","0.9","0.1","0.1","0.0","0.0","0.0"
Bayern,"0.0","0.0","1.5","59.2","9.9","0.6","0.2","0.2","4.0","0.0","0.0","0.0"
Berlin,"0.0","0.0","0.0","0.8","1.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","11.4","26.0","12.2","2.0","1.3","0.3","0.1","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.1","10.2","5.2","0.8","0.0","0.0","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.0","2.2","1.4","1.3","0.2","0.0","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","2.0","5.2","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.0","1.9","1.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","0.0","5.6","0.3","0.2","3.4","0.2","0.0","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.3","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.3","22.0","4.5","0.8","0.2","0.1","0.0","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","7.1","20.2","5.1","1.4","0.7","0.0","0.0","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","0.1","5.9","1.0","0.0","0.4","0.1","0.0","0.0","0.0","0.0"
Frueheres Bundesgebiet,"0.0","0.0","3.9","92.8","18.9","1.8","4.5","1.1","4.1","0.0","0.0","0.0"
Neue Laender,"0.0","0.0","18.8","76.2","24.3","5.6","2.8","0.5","0.1","0.0","0.0","0.0"
Deutschland,"0.0","0.0","22.8","169.0","43.2","7.4","7.4","1.7","4.2","0.0","0.0","0.0"
