Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Württemberg,"5.3","6.2","57","11.6"
Bayern,"60.9","14.9","59","75.8"
Berlin,"2.5","0.0","15","2.5"
Brandenburg,"42.3","11.0","223","53.3"
Bremen,"0.0","0.0","0","0.0"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"9.9","6.3","84","16.2"
Mecklenburg-Vorpommern,"4.9","0.3","20","5.2"
Niedersachsen,"7.2","0.5","44","7.7"
Nordrhein-Westfalen,"3.0","0.1","12","3.1"
Rheinland-Pfalz,"7.1","2.6","34","9.7"
Saarland,"0.8","0.0","4","0.8"
Sachsen,"22.8","5.0","137","27.8"
Sachsen-Anhalt,"23.5","11.1","71","34.6"
Schleswig-Holstein,"0.0","0.0","0","0.0"
Thüringen,"5.6","1.9","19","7.5"
Frueheres Bundesgebiet,"96.7","30.6","309","127.3"
Neue Laender,"99.1","29.3","470","128.4"
Deutschland,"195.8","59.9","779","255.6"
