Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240602
Jahr;spring;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1950;spring;   157.1;   156.7;   192.0;   161.0;   182.9;   148.1;   188.1;   188.4;   194.2;   188.3;   162.2;   199.0;   179.3;   186.7;   191.7;   198.0;   177.2;
1951;spring;   141.5;   141.5;   179.7;   158.8;   168.1;   171.3;   208.1;   208.4;   238.8;   204.1;   231.1;   226.9;   133.4;   124.8;   127.2;   130.1;   176.9;
1952;spring;    94.4;    94.6;   238.4;   235.0;   149.7;   108.1;   132.9;   132.3;   121.5;   143.3;   115.7;   163.8;   165.9;   130.3;   157.7;   192.1;   163.2;
1953;spring;    75.6;    76.1;   140.4;   142.8;   101.1;   103.9;   128.9;   128.9;   123.9;    92.4;   160.7;    77.8;   118.6;    82.7;    85.0;    88.0;   118.7;
1954;spring;    98.5;    98.7;   160.1;   191.3;   117.0;    88.0;   118.9;   119.1;   142.7;   127.9;   112.3;   116.7;   156.4;    96.5;   107.3;   120.8;   137.0;
1955;spring;   113.8;   114.1;   176.6;   191.3;   143.5;   124.4;   155.6;   155.4;   175.7;   128.2;   153.8;   156.1;   157.6;   112.4;   122.7;   135.6;   155.8;
1956;spring;   145.0;   144.7;   230.6;   197.1;   153.2;   113.4;   119.6;   119.3;   163.9;   176.6;    85.4;   221.1;   190.9;   145.6;   155.9;   168.9;   164.2;
1957;spring;   100.7;   101.1;   137.6;   168.4;   138.5;   110.6;   135.3;   135.1;   156.7;   127.4;   108.6;   139.0;   156.3;   115.7;   121.9;   129.7;   138.0;
1958;spring;   130.0;   130.0;   198.0;   186.2;   197.3;   156.8;   157.0;   157.0;   206.5;   201.1;   145.2;   271.6;   174.4;   142.1;   159.2;   180.8;   175.8;
1959;spring;   105.7;   105.6;   189.0;   184.5;   120.7;    85.8;    84.0;    84.1;   118.0;   147.8;    92.3;   187.4;   168.7;    91.7;    99.2;   108.7;   132.8;
1960;spring;    81.9;    82.3;   183.2;   184.2;   154.7;    91.0;   126.6;   126.4;   159.0;   135.7;    83.5;   137.0;   152.6;   100.5;   119.0;   142.3;   141.8;
1961;spring;   207.2;   206.4;   250.3;   258.4;   223.5;   153.3;   230.2;   229.4;   247.5;   159.4;   144.1;   178.8;   270.7;   230.2;   249.1;   272.9;   228.2;
1962;spring;   111.0;   111.5;   246.3;   246.2;   189.7;   139.9;   169.4;   169.4;   219.0;   189.8;   169.5;   239.5;   154.3;   117.1;   135.4;   158.4;   189.0;
1963;spring;    99.3;    99.1;   195.4;   190.3;   133.0;   104.9;   125.3;   125.1;   160.6;   142.1;   132.5;   199.7;   135.5;    89.5;   102.9;   119.8;   145.6;
1964;spring;   122.0;   121.8;   249.3;   231.7;   135.0;   132.1;   137.5;   137.5;   139.0;   144.8;   114.0;   149.0;   125.5;   119.5;   128.9;   140.7;   164.0;
1965;spring;   183.0;   183.3;   377.7;   346.8;   234.1;   175.4;   221.4;   220.7;   255.1;   229.9;   163.9;   283.4;   283.7;   167.9;   183.8;   203.9;   257.8;
1966;spring;   120.8;   120.9;   265.0;   287.6;   220.4;   160.1;   190.2;   189.9;   254.7;   206.3;   190.3;   217.7;   178.7;   137.2;   165.8;   201.8;   215.3;
1967;spring;   128.6;   128.6;   244.5;   241.9;   231.5;   145.3;   218.0;   217.5;   241.5;   211.3;   188.1;   247.0;   178.3;   144.1;   166.2;   194.1;   207.4;
