Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
"Baden-Wuerttemberg",0,1,1,13,2,4,1,1,3,1,1,1
"Bayern",0,1,4,11,2,2,2,0,0,0,0,0
"Berlin",0,0,0,1,0,0,0,0,0,0,0,0
"Brandenburg",0,0,4,18,29,93,8,11,3,1,1,0
"Bremen",0,0,0,0,0,0,0,0,0,0,0,0
"Hamburg",0,0,0,0,0,0,0,0,0,0,0,0
"Hessen",0,0,2,7,3,6,2,1,6,2,0,0
"Mecklenburg-Vorpommern",0,0,2,6,1,14,3,1,1,0,0,0
"Niedersachsen",1,2,20,12,11,14,18,7,2,9,1,1
"Nordrhein-Westfalen",1,4,5,21,14,15,6,7,5,1,0,0
"Rheinland-Pfalz",0,0,1,2,0,1,0,0,2,2,0,0
"Saarland",0,0,0,0,0,0,0,0,0,0,0,0
"Sachsen",0,0,4,2,6,17,0,1,0,4,0,0
"Sachsen-Anhalt",0,0,1,6,1,18,7,4,1,2,0,0
"Schleswig-Holstein",0,0,0,0,0,0,0,0,0,0,0,0
"Thueringen",0,1,0,5,1,2,1,1,1,0,0,0
"Frueheres Bundesgebiet",2,8,33,67,32,42,29,16,18,15,2,2
"Neue Laender",0,1,11,37,38,144,19,18,6,7,1,0
"Deutschland",2,9,44,104,70,186,48,34,24,22,3,2
