Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Wuerttemberg,2,"0.06",19,"4.05",0,"0.00",1,"0.10",7,"3.23",29,"7.44"
Bayern,1,"1.20",4,"5.17",16,"34.75",0,"0.00",1,"1.00",22,"42.12"
Berlin,0,"0.00",1,"0.02",0,"0.00",0,"0.00",0,"0.00",1,"0.02"
Brandenburg,43,"4.18",34,"11.74",11,"5.64",5,"0.37",75,"19.96",168,"41.89"
Bremen,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hamburg,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hessen,14,"0.91",2,"0.02",0,"0.00",0,"0.00",13,"1.62",29,"2.55"
Mecklenburg-Vorpommern,3,"0.14",17,"5.54",1,"0.00",0,"0.00",7,"9.34",28,"15.02"
Niedersachsen,1,"0.01",7,"0.09",4,"1.10",1,"0.01",85,"3.21",98,"4.42"
Nordrhein-Westfalen,5,"0.02",13,"2.09",0,"0.00",0,"0.00",61,"3.63",79,"5.74"
Rheinland-Pfalz,2,"0.08",2,"0.02",0,"0.00",0,"0.00",4,"0.32",8,"0.42"
Saarland,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Sachsen,3,"0.11",21,"1.77",0,"0.00",0,"0.00",10,"1.30",34,"3.18"
Sachsen-Anhalt,17,"13.29",6,"4.40",0,"0.00",0,"0.00",17,"5.54",40,"23.23"
Schleswig-Holstein,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Thueringen,1,"0.05",2,"0.06",0,"0.00",0,"0.00",9,"1.67",12,"1.78"
Frueheres Bundesgebiet,25,"2.28",48,"11.46",20,"35.85",2,"0.11",171,"13.01",266,"62.71"
Neue Laender,67,"17.77",80,"23.51",12,"5.64",5,"0.37",118,"37.81",282,"85.10"
Deutschland,92,"20.05",128,"34.97",32,"41.49",7,"0.48",289,"50.82",548,"147.81"
