Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"2,38","5,06",29,"7,44"
Bayern,"9,41","32,71",22,"42,12"
Berlin,"0,02","0,00",1,"0,02"
Brandenburg,"38,78","3,11",168,"41,89"
Bremen,"0,00","0,00",0,"0,00"
Hamburg,"0,00","0,00",0,"0,00"
Hessen,"0,39","2,16",29,"2,55"
Mecklenburg-Vorpommern,"14,94","0,08",28,"15,02"
Niedersachsen,"2,73","1,69",98,"4,42"
Nordrhein-Westfalen,"1,61","4,13",79,"5,74"
Rheinland-Pfalz,"0,38","0,04",8,"0,42"
Saarland,"0,00","0,00",0,"0,00"
Sachsen,"1,66","1,52",34,"3,18"
Sachsen-Anhalt,"22,66","0,57",40,"23,23"
Schleswig-Holstein,"0,00","0,00",0,"0,00"
Thüringen,"0,50","1,28",12,"1,78"
Früheres Bundesgebiet,"16,92","45,79",266,"62,71"
Neue Länder,"78,54","6,56",282,"85,10"
Deutschland,"95,46","52,35",548,"147,81"
