,"Jan","Feb","Mär","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez"
Baden-Württemberg,"0.00","0.03","0.80","4.35","1.20","0.80","0.04","0.04","0.15","0.01","0.01","0.01"
Bayern,"0.00","0.50","7.70","31.99","0.30","0.58","1.05","0.00","0.00","0.00","0.00","0.00"
Berlin,"0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Brandenburg,"0.00","0.00","0.50","5.83","7.67","25.38","0.77","1.15","0.29","0.15","0.15","0.00"
Bremen,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hamburg,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hessen,"0.00","0.00","0.10","1.44","0.02","0.20","0.00","0.02","0.37","0.40","0.00","0.00"
Mecklenburg-Vorpommern,"0.00","0.00","0.00","0.09","0.01","10.20","4.40","0.02","0.30","0.00","0.00","0.00"
Niedersachsen,"0.01","0.02","1.83","0.13","1.48","0.38","0.19","0.16","0.11","0.09","0.01","0.01"
Nordrhein-Westfalen,"0.01","0.03","0.33","1.14","1.30","2.48","0.11","0.25","0.09","0.00","0.00","0.00"
Rheinland-Pfalz,"0.00","0.00","0.01","0.30","0.00","0.01","0.00","0.00","0.02","0.08","0.00","0.00"
Saarland,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Sachsen,"0.00","0.00","0.34","0.50","1.12","1.01","0.00","0.00","0.00","0.21","0.00","0.00"
Sachsen-Anhalt,"0.00","0.00","1.00","1.77","0.07","12.17","5.48","2.73","0.00","0.01","0.00","0.00"
Schleswig-Holstein,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Thüringen,"0.00","0.01","0.00","1.32","0.05","0.29","0.05","0.05","0.01","0.00","0.00","0.00"
Früheres Bundesgebiet,"0.02","0.58","10.77","39.37","4.30","4.45","1.39","0.47","0.74","0.58","0.02","0.02"
Neue Länder,"0.00","0.01","1.84","9.51","8.92","49.05","10.70","3.95","0.60","0.37","0.15","0.00"
Deutschland,"0.02","0.59","12.61","48.88","13.22","53.50","12.09","4.42","1.34","0.95","0.17","0.02"
