Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,31,"5,6",10,"2,5",1,"0,1",3,"0,7",12,"1,3",57,"10,3"
Bayern,8,"1,7",25,"5,2",43,"51,2",4,"0,0",32,"7,7",112,"65,8"
Berlin,0,"0,0",1,"0,0",0,"0,0",0,"0,0",0,"0,0",1,"0,0"
Brandenburg,54,"18,2",101,"99,7",22,"161,8",28,"7,2",127,"41,3",332,"328,3"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",2,"0,3",0,"0,0",0,"0,0",0,"0,0",2,"0,3"
Hessen,46,"5,0",14,"2,8",0,"0,0",3,"0,0",61,"4,4",124,"12,3"
Mecklenburg-Vorpommern,5,"0,8",6,"1,7",0,"0,0",1,"0,0",19,"6,3",31,"8,8"
Niedersachsen,9,"0,5",8,"0,3",3,"0,0",3,"16,3",59,"6,1",82,"23,3"
Nordrhein-Westfalen,5,"1,3",9,"2,0",2,"2,0",0,"0,0",11,"4,6",27,"9,8"
Rheinland-Pfalz,16,"7,4",10,"0,5",0,"0,0",0,"0,0",11,"4,5",37,"12,5"
Saarland,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Sachsen,23,"1,9",60,"8,4",3,"1,4",0,"0,0",42,"4,8",128,"16,5"
Sachsen-Anhalt,6,"1,3",6,"1,1",6,"4,3",7,"4,1",67,"20,7",92,"31,4"
Schleswig-Holstein,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Thüringen,6,"0,1",7,"1,4",3,"0,8",1,"0,0",29,"4,1",46,"6,4"
Früheres Bundesgebiet,115,"21,5",79,"13,6",49,"53,3",13,"17,0",186,"28,7",442,"134,2"
Neue Länder,94,"22,2",180,"112,3",34,"168,2",37,"11,3",284,"77,2",629,"391,4"
Deutschland,2 09,"43,8",2 59,"125,9",8 3,"221,6",50,"28,3",470,"106,0",1.071,"525,5"
