Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Wuerttemberg,41,"7.08",39,"5.15",3,"1.58",2,"0.20",38,"10.79",123,"24.79"
Bayern,12,"1.44",26,"6.13",40,"193.12",2,"0.00",65,"13.80",145,"214.49"
Berlin,4,"0.06",0,"0.00",0,"0.00",0,"0.00",27,"60.70",31,"60.75"
Brandenburg,125,"340.67",161,"78.26",12,"42.27",23,"6.13",202,"958.33",523,"1425.66"
Bremen,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hamburg,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hessen,105,"9.68",15,"27.61",0,"0.00",2,"0.00",144,"84.78",266,"122.07"
Mecklenburg-Vorpommern,10,"0.19",43,"3.66",1,"0.32",0,"0.00",13,"9.17",67,"13.34"
Niedersachsen,29,"3.19",8,"2.16",188,"94.45",2,"0.77",224,"44.15",451,"144.72"
Nordrhein-Westfalen,6,"23.73",90,"31.05",1,"0.70",0,"0.00",107,"19.17",204,"74.66"
Rheinland-Pfalz,24,"4.39",26,"31.52",1,"5.00",2,"0.12",53,"24.49",106,"65.52"
Saarland,6,"1.13",0,"0.00",0,"0.00",0,"0.00",22,"4.71",28,"5.84"
Sachsen,32,"692.37",122,"76.33",1,"0.05",3,"0.01",59,"16.67",217,"785.43"
Sachsen-Anhalt,62,"17.94",20,"44.94",2,"1.60",4,"0.36",76,"33.51",164,"98.35"
Schleswig-Holstein,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Thueringen,11,"0.42",12,"11.81",0,"0.00",1,"0.00",48,"10.11",72,"22.35"
Frueheres Bundesgebiet,227,"50.70",204,"103.62",233,"294.85",10,"1.09",680,"262.58",1.354,"712.84"
Neue Laender,240,"1051.59",358,"215.00",16,"44.24",31,"6.49",398,"1027.80",1.043,"2345.13"
Deutschland,467,"1102.30",562,"318.62",249,"339.09",41,"7.59",1.078,"1290.37",2.397,"3057.96"
