Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,1,14,6,3,13,25,55,5,0,0,1
Bayern,0,0,8,4,2,9,60,53,8,0,1,0
Berlin,0,0,1,2,3,8,6,11,0,0,0,0
Brandenburg,0,0,37,29,85,148,130,81,10,2,1,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,1,0,15,8,14,34,76,102,16,0,0,0
Mecklenburg-Vorpommern,0,0,5,5,9,16,16,9,5,0,2,0
Niedersachsen,0,0,13,11,33,63,81,69,102,45,34,0
Nordrhein-Westfalen,0,2,12,16,26,19,48,62,16,2,1,0
Rheinland-Pfalz,0,1,5,2,5,7,22,60,4,0,0,0
Saarland,0,0,3,1,0,2,8,14,0,0,0,0
Sachsen,0,1,16,11,25,42,82,30,3,1,3,3
Sachsen-Anhalt,0,0,12,6,27,40,39,30,10,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thueringen,0,0,0,2,2,15,32,19,1,0,1,0
Frueheres Bundesgebiet,1,4,71,50,86,155,326,426,151,47,36,1
Neue Laender,0,1,70,53,148,261,299,169,29,3,7,3
Deutschland,1,5,141,103,234,416,625,595,180,50,43,4
