Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.00","0.01","3.13","0.86","1.33","1.59","2.64","15.21","0.02","0.00","0.00","0.00"
Bayern,"0.00","0.00","24.76","94.00","2.50","9.46","52.07","28.84","2.86","0.00","0.00","0.00"
Berlin,"0.00","0.00","0.01","0.01","0.13","0.28","0.11","60.23","0.00","0.00","0.00","0.00"
Brandenburg,"0.00","0.00","3.41","8.10","14.52","797.85","579.83","20.00","1.95","0.00","0.00","0.00"
Bremen,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hamburg,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hessen,"0.00","0.00","2.40","1.33","0.92","1.86","32.15","82.28","1.13","0.00","0.00","0.00"
Mecklenburg-Vorpommern,"0.00","0.00","1.11","0.21","0.65","9.01","1.46","0.73","0.13","0.00","0.04","0.00"
Niedersachsen,"0.00","0.00","2.02","0.20","18.33","25.69","15.93","14.59","39.35","12.79","15.82","0.00"
Nordrhein-Westfalen,"0.00","0.26","2.01","2.33","2.40","2.63","30.54","33.41","0.88","0.20","0.00","0.00"
Rheinland-Pfalz,"0.00","0.01","1.40","0.21","1.59","5.10","6.73","49.67","0.81","0.00","0.00","0.00"
Saarland,"0.00","0.00","0.29","0.06","0.00","0.60","0.62","4.27","0.00","0.00","0.00","0.00"
Sachsen,"0.00","0.00","5.91","1.07","2.66","565.24","203.08","7.42","0.05","0.00","0.01","0.00"
Sachsen-Anhalt,"0.00","0.00","5.09","2.03","4.28","10.94","37.48","21.49","17.03","0.00","0.00","0.00"
Schleswig-Holstein,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Thueringen,"0.00","0.00","0.00","0.77","0.29","0.84","7.13","13.03","0.10","0.00","0.20","0.00"
Frueheres Bundesgebiet,"0.00","0.28","36.02","98.99","27.20","47.21","140.78","288.50","45.05","12.99","15.82","0.00"
Neue Laender,"0.00","0.00","15.51","12.18","22.40","1383.88","828.97","62.67","19.27","0.00","0.24","0.00"
Deutschland,"0.00","0.28","51.54","111.17","49.60","1431.09","969.76","351.16","64.31","12.99","16.06","0.00"
