Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Wuerttemberg,3,"0.4",10,"4.8",0,"0.0",0,"0.0",4,"0.3",17,"5.6"
Bayern,3,"1.1",6,"1.7",9,"6.7",1,"0.0",14,"6.5",33,"16.0"
Berlin,26,"7.6",0,"0.0",0,"0.0",1,"0.0",13,"1.7",40,"9.2"
Brandenburg,114,"31.0",114,"57.5",17,"5.3",27,"2.2",213,"57.2",485,"153.3"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,33,"5.8",6,"0.6",0,"0.0",0,"0.0",21,"3.2",60,"9.6"
Mecklenburg-Vorpommern,17,"4.3",22,"5.1",3,"0.7",0,"0.0",49,"27.4",91,"37.4"
Niedersachsen,26,"10.7",17,"5.2",14,"4.4",22,"6.1",56,"38.6",135,"66.8"
Nordrhein-Westfalen,7,"2.1",3,"0.1",2,"0.5",0,"0.0",19,"7.3",31,"10.0"
Rheinland-Pfalz,34,"6.7",13,"1.6",7,"3.5",0,"0.0",11,"0.9",65,"12.7"
Saarland,2,"1.3",1,"0.3",0,"0.0",1,"0.0",0,"0.0",4,"1.6"
Sachsen,10,"6.4",5,"3.3",4,"2.8",3,"0.3",27,"11.5",49,"24.3"
Sachsen-Anhalt,52,"45.2",21,"10.6",0,"0.0",4,"0.1",69,"11.1",146,"66.9"
Schleswig-Holstein,3,"0.0",1,"0.2",0,"0.0",1,"0.1",3,"0.7",8,"1.0"
Thueringen,0,"0.0",7,"0.1",0,"0.0",3,"0.0",4,"0.1",14,"0.3"
Frueheres Bundesgebiet,137,"35.7",57,"14.5",32,"15.1",26,"6.2",141,"59.2",393,"132.4"
Neue Laender,193,"86.8",169,"76.6",24,"8.8",37,"2.6",362,"107.4",785,"282.2"
Deutschland,330,"122.5",226,"91.1",56,"23.9",63,"8.9",503,"166.5",1.178,"414.7"
