;;;;;;
;;Land;;;;
;;;Anzahl;Flaeche (ha);;
;;Baden-Württemberg;17;5,6;;
;;Bayern;33;16,0;;
;;Berlin;40;9,2;;
;;Brandenburg;485;153,3;;
;;Bremen;0;0,0;;
;;Hamburg;0;0,0;;
;;Hessen;60;9,6;;
;;Meckienburg-Vorpommern;91;37,4;;
;;Niedersachsen;135;66,8;;
;;Nordrhein-Westfalen;31;10,0;;
;;Rheinland-Pfalz;65;12,7;;
;;Saarland;4;1,6;;
;;Sachsen;49;24,3;;
;;Sachsen-Anhalt;146;66,9;;
;;Schleswig-Holstein;8;1,0;;
;;Thüringen;14;0,3;;
;;BESONDERHEITEN;;;;
