Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,"0,0","0,1","1,2","0,0","3,2","0,0","0,3","0,0","0,4","0,0","0,5","0,0"
Bayern,"0,0","0,0","1,5","4,8","1,7","0,6","3,8","0,4","3,2","0,0","0,0","0,0"
Berlin,"0,0","0,0","0,0","0,2","5,1","0,0","3,3","0,1","0,6","0,0","0,0","0,0"
Brandenburg,"0,0","0,0","0,6","9,3","17,4","4,2","34,2","55,9","30,6","1,0","0,0","0,0"
Bremen,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hamburg,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hessen,"0,0","0,0","0,1","4,1","1,5","0,6","1,0","1,8","0,5","0,0","0,0","0,0"
Mecklenburg-Vorpommern,"0,0","0,0","0,0","9,1","3,1","0,5","17,9","2,8","4,0","0,0","0,0","0,0"
Niedersachsen,"0,0","0,0","2,8","3,2","1,1","2,1","20,6","34,0","3,0","0,0","0,0","0,0"
Nordrhein-Westfalen,"0,0","0,0","1,3","1,2","1,5","0,8","0,7","2,1","2,4","0,0","0,0","0,0"
Rheinland-pfalz,"0,0","0,0","0,0","0,0","0,0","0,2","0,8","1,9","9,8","0,0","0,0","0,0"
Saarland,"0,0","0,0","0,0","0,3","1,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Sachsen,"0,0","0,0","0,0","0,2","10,1","0,2","1,2","4,5","7,1","1,0","0,0","0,0"
Sachsen-Anhalt,"0,0","0,0","0,0","0,2","6,5","0,5","11,1","44,1","4,5","0,0","0,0","0,0"
Schleswig-Holstein,"0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,5","0,2","0,0","0,0","0,0"
Thuringen,"0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,0"
Fruheres Bundesgebiet,"0,0","0,1","6,8","13,8","15,3","4,3","30,8","40,7","20,1","0,0","0,5","0,0"
Neue Lander,"0,0","0,0","0,6","18,8","37,1","5,5","64,6","107,5","46,2","2,0","0,0","0,0"
Deutschland,"0,0","0,1","7,4","32,6","52,4","9,8","95,3","148,2","66,3","2,0","0,5","0,0"
