Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,0,"0,0",6,"4,4",0,"0,0",0,"0,0",4,"0,7",10,"5,1"
Bayern,0,"0,0",44,"26,0",16,"25,2",1,"0,0",15,"3,3",76,"54,5"
Berlin,0,"0,0",0,"0,0",0,"0,0",0,"0,0",19,"2,3",19,"2,3"
Brandenburg,80,"22,6",19,"7,4",9,"20,4",5,"1,6",111,"69,3",224,"121,1"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,3,"0,0",4,"0,8",0,"0,0",0,"0,0",9,"2,8",16,"3,6"
Mecklenburg-Vorpommern,13,"4,6",6,"2,0",1,"0,8",0,"0,0",12,"8,9",32,"16,4"
Niedersachsen,3,"0,1",6,"1,1",4,"11,6",0,"0,0",11,"2,4",24,"15,2"
Nordrhein-Westfalen,0,"0,0",8,"0,7",0,"0,0",0,"0,0",14,"2,1",22,"2,8"
Rheinland-Pfalz,13,"2,9",7,"1,1,",2,"2,2",0,"0,0",13,"6,8",35,"13,0"
Saarland,6,"1,7",1,"0,0",0,"0,0",0,"0,0",9,"2,0",16,"3,7"
Sachsen,9,"0,5",27,"3,0",0,"0,0",2,"0,0",32,"8,1",70,"11,6"
Sachsen-Anhalt,21,"5,7",7,"2,0",1,"0,5",1,"0,0",17,"3,3",47,"11,5"
Schleswig-Holstein,0,"0,0",1,"0,1",0,"0,0",0,"0,0",1,"0,0",2,"0,1"
Thüringen,9,"7,5",17,"3,8",0,"0,0",.2,"0,0",5,"2,1",33,"13,4"
Früheres Bundesgebiet,25,"4,7",77,"34,3",22,"39,0",1,"0,0",95,"22,4",220,"100,4"
Neue Länder,132,"40,9",76,"18,1",11,"21,7",10,"1,7",177,"91,7",406,"173,9"
Deutschland,157,"45,6",153,"52,4",33,"60,7",11,"1,7",272,"114,1",626,"274,3"
