Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,1,1,2,5,1,0,0,0,0,0,0
Bayern,0,0,10,28,13,5,7,11,2,0,0,0
Berlin,1,1,1,3,6,5,1,0,0,1,0,0
Brandenburg,0,1,13,61,26,18,22,63,16,4,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,0,6,5,1,1,1,1,1,0,0
Mecklenburg-Vorpommern,0,0,1,9,3,6,0,10,3,0,0,0
Niedersachsen,0,0,0,7,4,4,2,7,0,0,0,0
Nordrhein-Westfalen,0,0,2,5,7,2,3,3,0,0,0,0
Rheinland-Pfalz,0,1,3,8,6,6,3,7,1,0,0,0
Saarland,0,0,0,9,6,.0,0,1,0,0,0,0
Sachsen,0,0,5,24,3,8,7,16,6,0,0,1
Sachsen-Anhalt,0,0,6,11,11,0,2,14,3,0,0,0
Schleswig-Holstein,0,0,0,0,1,0,0,1,0,0,0,0
Thüringen,0,0,2,10,1,5,2,8,2,2,1,0
Frueheres Bundesgebiet,1,3,17,68,53,24,17,31,4,2,0,0
Neue Laender,0,1,27,115,44,37,33,111,30,6,1,1
Deutschland,1,4,44,183,97,61,50,142,34,8,1,1
