Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","0.5","0.3","2.6","1.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Bayern,"0.0","0.0","7.7","33.3","6.2","3.3","1.0","2.8","0.2","0.0","0.0","0.0"
Berlin,"0.0","0.0","0.1","0.2","1.2","0.9","0.0","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.2","11.1","56.0","17.6","4.6","1.5","21.2","9.1","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.0","2.6","0.9","0.0","0.1","0.0","0.0","0.1","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.3","11.2","1.4","1.3","0.0","1.1","1.2","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.0","11.7","2.1","0.2","0.4","0.8","0.0","0.0","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.5","1.4","0.6","0.1","0.1","0.1","0.0","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","0.3","5.2","2.1","0.8","2.1","2.4","0.2","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","2.3","1.1","0.0","0.0","0.3","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","2.8","7.4","0.1","0.4","0.2","0.6","0.2","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","3.0","4.4","0.9","0.0","0.2","1.8","1.2","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","1.8","9.0","0.5","0.1","0.0","1.7","0.3","0.0","0.0","0.0"
Frueheres Bundesgebiet,"0.0","0.5","8.8","59.3","15.8","5.3","3.7","6.5","0.4","0.1","0.0","0.0"
Neue Laender,"0.0","0.2","18.9","87.9","20.4","6.4","1.8","26.3","11.9","0.0","0.0","0.0"
Deutschland,"0.0","0.7","27.7","147.2","36.2","11.7","5.5","32.8","12.3","0.1","0.0","0.0"
