,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,1,0,12,20,1,4,3,0,0,3,0
Bayern,0,1,8,22,25,10,6,6,1,1,2,0
Berlin,0,0,0,0,0,0,0,0,0,0,0,0
Brandenburg,0,0,15,27,77,83,15,3,2,2,1,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,4,18,18,2,1,1,1,1,0,0
Mecklenburg-Vorpommern,0,0,1,8,17,5,1,0,0,2,0,0
Niedersachsen,0,1,18,17,59,21,6,4,2,1,2,1
Nordrhein-Westfalen,0,0,1,17,21,2,10,2,2,0,1,0
Rheinland-Pfalz,0,0,2,21,14,11,4,0,8,3,4,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,0,0,8,20,37,22,7,1,1,0,3,1
Sachsen-Anhalt,0,0,3,10,38,15,1,1,4,0,0,0
Schleswig-Holstein,0,0,0,0,5,0,0,0,0,0,0,0
Thueringen,0,0,2,5,14,1,0,2,0,0,0,1
Frueheres Bundesgebiet,0,3,33,107,162,47,31,16,14,6,12,1
Neue Laender,0,0,29,70,183,126,24,7,7,4,4,2
Deutschland,0,3,62,177,345,173,55,23,21,10,16,3
