"",,,,
Baden-Württemberg,"3,8","2,6",44,"6,4"
"",,,,
Bayern,"38,2","4,2",82,"42,4"
"",,,,
Berlin,"0,0","0,0",0,"0,0"
"",,,,
Brandenburg,"43,8","2,3",225,"46,1"
"",,,,
Bremen,"0,0","0,0",0,"0,0"
"",,,,
Hamburg,"0,0","0,0",0,"0,0"
"",,,,
Hessen,"4,1","10,1",46,"14,2"
"",,,,
Mecklenburg-Vorpommern,"11,5","0,6",34,"12,0"
"",,,,
Niedersachsen,"25,9","2,2",132,"28,1"
"",,,,
Nordrhein-Westfalen,"10,9","6,3",56,"17,2"
"",,,,
Rheinland-Pfalz,"3,2","3,4",67,"6,6"
"",,,,
Saarland,"0,0","0,0",0,"0,0"
"",,,,
Sachsen,"9,7","4,3",100,"14,0"
"",,,,
Sachsen-Anhalt,"12,3","8,6",72,"20,9"
"",,,,
Schleswig-Holstein,"0,2","1,0",5,"1,2"
"",,,,
Thüringen,"2,8","2,0",25,"4,8"
"",,,,
Früheres Bundesgebiet,"86,3","29,9",432,"116,2"
"",,,,
Neue Länder,"80,1","17,7",456,"97,8"
Deutschland,"166,4","47,6",888,"214,0"
Baden-Württemberg,7,"1,1",20,"3,2",0,"0,0",0,"0,0",17,"2,0",44,"6,4"
Bayern,2,"0,9",14,"9,7",36,"10,5",1,"0,1",29,"21,2",82,"42,4"
Berlin,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Brandenburg,13,"1,0",52,"15,6",6,"1,9",23,"6,0",131,"21,6",225,"46,1"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,17,"2,7",3,"4,2",0,"0,0",1,"0,0",25,"7,3",46,"14,2"
Mecklenburg-Vorpommern,7,"1,9",10,"2,1",2,"2,6",0,"0,0",15,"5,4",34,"12,0"
Niedersachsen,15,"5,3",19,"1,6",26,"5,6",0,"0,0",72,"15,7",132,"28,1"
Nordrhein-Westfalen,7,"1,0",9,"9,0",3,"2,0",1,"0,0",36,"5,3",56,"17,2"
Rheinland-Pfalz,33,"1,8",16,"3,3",0,"0,0",0,"0,0",18,"1,5",67,"6,6"
Saarland,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
