Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","0.1","0.0","2.1","3.6","0.0","0.4","0.1","0.0","0.0","0.1","0.0"
Bayern,"0.0","0.6","5.6","3.5","7.9","3.6","1.0","1.0","0.1","4.0","15.3","0.0"
Berlin,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","7.4","6.3","11.8","17.1","3.4","0.2","0.0","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","2.3","10.8","0.9","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.5","5.5","5.9","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","5.0","1.6","14.9","2.0","4.1","0.2","0.5","0.1","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.5","9.9","3.7","1.6","1.3","0.1","0.1","0.0","0.1","0.0"
Rheinland-Pfalz,"0.0","0.0","0.3","1.5","2.3","0.7","0.3","0.0","1.3","0.1","0.2","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.7","3.1","2.1","6.2","1.4","0.0","0.3","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.8","5.8","11.8","2.2","0.0","0.0","0.2","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","2.1","0.9","1.7","0.0","0.0","0.1","0.0","0.0","0.0","0.0"
Frueheres Bundesgebiet,"0.0","0.7","13.6","29.2","34.5","8.0","7.1","1.4","2.0","4.2","15.6","0.0"
Neue Laender,"0.0","0.0","11.5","21.6","33.2","25.7","4.8","0.4","0.5","0.0","0.0","0.0"
Deutschland,"0.0","0.7","25.1","50.8","67.7","33.7","11.9","1.7","2.4","4.2","15.6","0.0"
