Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Württemberg,"3.8","3.5","13","7.3"
Bayern,"6.3","2.7","17","9.0"
Berlin,"5.6","0.0","7","5.6"
Brandenburg,"27.8","8.3","217","36.1"
Bremen,"0.0","0.4","1","0.4"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"0.7","0.6","7","1.3"
Mecklenburg-Vorpommern,"6.3","0.4","20","6.7"
Niedersachsen,"10.8","0.6","36","11.4"
Nordrhein-Westfalen,"1.1","6.3","16","7.4"
Rheinland-Pfalz,"8.6","5.3","65","13.9"
Saarland,"0.2","4.5","7","4.7"
Sachsen,"7.7","1.8","47","9.5"
Sachsen-Anhalt,"3.3","4.8","44","8.1"
Schleswig-Holstein,"0.0","0.1","1","0.1"
Thüringen,"0.1","0.5","15","0.6"
Frueheres Bundesgebiet,"37.1","24.0","170","61.1"
Neue Laender,"45.2","15.8","343","61.0"
Deutschland,"82.2","39.8","513","122.1"
