Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,"0,0","0,0","0,6","2,7","1,4","0,3","0,5","1,8","0,0","0,0","0,0","0,0"
Bayern,"0,0","0,0","3,4","2,3","3,3","0,0","0,1","0,0","0,0","0,0","0,0","0,0"
Berlin,"0,0","0,1","0,0","5,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Brandenburg,"0,0","0,1","2,0","10,4","2,4","3,0","11,1","3,9","3,0","0,1","0,0","0,0"
Bremen,"0,0","0,0","0,0","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hamburg,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hessen,"0,0","0,0","0,0","0,4","0,1","0,7","0,0","0,0","0,0","0,0","0,0","0,0"
Mecklenburg-Vorpommern,"0,0","0,0","0,0","0,4","0,7","2,9","0,6","0,3","1,9","0,0","0,0","0,0"
Niedersachsen,"0,0","0,0","0,4","3,0","6,0","0,8","0,0","1,0","0,2","0,0","0,0","0,0"
Nordrhein-Westfalen,"0,0","0,0","5,3","0,9","0,5","0,7","0,0","0,0","0,0","0,1","0,0","0,0"
Rheinland-pfalz,"0,0","0,0","0,0","4,6","0,2","3,2","1,8","4,1","0,1","0,0","0,0","0,0"
Saarland,"0,0","0,1","1,5","0,4","1,5","0,0","1,2","0,0","0,0","0,0","0,0","0,0"
Sachsen,"0,2","0,0","0,1","0,5","0,1","2,6","1,0","0,5","4,6","0,0","0,0","0,0"
Sachsen-Anhalt,"0,0","0,0","0,4","6,6","0,0","0,6","0,0","0,1","0,4","0,0","0,0","0,0"
Schleswig-Holstein,"0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
Thuringen,"0,0","0,0","0,0","0,5","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0"
Fruheres Bundesgebiet,"0,0","0,2","11,2","20,2","13,0","5,8","3,6","6,9","0,3","0,1","0,0","0,0"
Neue Lander,"0,2","0,1","2,4","18,5","3,2","9,0","12,7","4,7","9,9","0,1","0,0","0,0"
Deutschland,"0,2","0,3","13,6","38,8","16,2","14,8","16,3","11,6","10,2","0,2","0,0","0,0"
