Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Wuerttemberg,0,"0.0",10,"6.7",0,"0.0",0,"0.0",3,"0.6",13,"7.3"
Bayern,0,"0.0",11,"5.2",3,"3.2",0,"0.0",3,"0.6",17,"9.0"
Berlin,5,"1.1",0,"0.0",0,"0.0",0,"0.0",2,"4.5",7,"5.6"
Brandenburg,69,"6.3",33,"10.7",13,"5.0",16,"0.7",86,"13.3",217,"36.1"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",1,"0.4",1,"0.4"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,2,"0.1",2,"0.8",0,"0.0",0,"0.0",3,"0.4",7,"1.3"
Mecklenburg-Vorpommern,3,"0.5",6,"0.8",1,"1.5",0,"0.0",10,"3.9",20,"6.7"
Niedersachsen,6,"4.3",5,"5.4",22,"0.6",0,"0.0",3,"1.1",36,"11.4"
Nordrhein-Westfalen,9,"3.0",4,"3.1",0,"0.0",0,"0.0",3,"1.4",16,"7.4"
Rheinland-Pfalz,36,"2.4",13,"4.2",1,"0.5",1,"1.8",14,"5.1",65,"13.9"
Saarland,1,"1.0",0,"0.0",0,"0.0",0,"0.0",6,"3.7",7,"4.7"
Sachsen,7,"0.4",11,"1.0",3,"1.7",5,"0.2",21,"6.3",47,"9.5"
Sachsen-Anhalt,17,"6.3",6,"0.5",0,"0.0",0,"0.0",21,"1.4",44,"8.1"
Schleswig-Holstein,0,"0.0",0,"0.0",0,"0.0",0,"0.0",1,"0.1",1,"0.1"
Thueringen,2,"0.1",1,"0.0",0,"0.0",1,"0.0",11,"0.5",15,"0.6"
Frueheres Bundesgebiet,59,"11.8",45,"25.3",26,"4.3",1,"1.8",39,"17.9",170,"61.1"
Neue Laender,98,"13.5",57,"13.0",17,"8.2",22,"0.9",149,"25.4",343,"61.0"
Deutschland,157,"25.3",102,"38.2",43,"12.5",23,"2.7",188,"43.3",513,"122.1"
