Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"3.1","0.0","19","3.2"
Bayern,"18.8","4.3","40","23.1"
Berlin,"3.6","2.7","43","6.3"
Brandenburg,"208.0","11.8","575","219.8"
Bremen,"0.0","0.0","0","0.0"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"2.1","2.4","21","4.5"
Mecklenburg-Vorpommern,"36.4","1.6","78","37.9"
Niedersachsen,"32.9","0.8","92","33.7"
Nordrhein-Westfalen,"4.0","2.5","17","6.5"
Rheinland-Pfalz,"1.7","6.4","45","8.1"
Saarland,"0.0","0.0","0","0.0"
Sachsen,"52.6","3.3","78","55.9"
Sachsen-Anhalt,"131.4","40.6","158","172.0"
Schleswig-Holstein,"0.2","0.0","4","0.2"
Thüringen,"6.4","3.7","40","10.1"
Früheres Bundesgebiet,"66.5","19.1","281","85.6"
Neue Länder,"434.8","60.9","929","495.7"
Deutschland,"501.3","80.0","1210","581.3"
