Land;Anzahl;Flaeche (ha)
Baden-Württemberg;19;3,2
Bayern;40;23,1
Berlin;43;6,3
Brandenburg;575;219,8
Bremen;0;0,0
Hamburg;0;0,0
Hessen;21;4,5
Mecklenburg-Vorpommern;78;37,9
Niedersachsen;92;33,7
Nordrhein-Westfalen;17;6,5
Rheinland-Pfalz;45;8,1
Saarland;0;0,0
Sachsen;78;55,9
Sachsen-Anhalt;158;172,0
Schleswig-Holstein;4;0,2
Thüringen;40;10,1
BESONDERHEITEN;;
