Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,0,0,0,7,3,8,1,0,0,0
Bayern,0,0,2,6,4,18,3,6,1,0,0,0
Berlin,1,0,1,0,19,13,8,1,0,0,0,0
Brandenburg,0,1,3,55,193,210,39,62,9,3,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,1,4,1,14,1,0,0,0,0,0
Mecklenburg-Vorpommern,0,0,1,7,28,39,2,1,0,0,0,0
Niedersachsen,0,0,0,10,30,43,4,4,0,1,0,0
Nordrhein-Westfalen,0,0,1,5,4,2,4,0,0,1,0,0
Rheinland-Pfalz,0,0,0,0,1,5,11,20,8,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,0,0,0,10,14,39,2,11,2,0,0,0
Sachsen-Anhalt,0,1,3,27,46,52,10,13,4,1,1,0
Schleswig-Holstein,0,0,0,0,3,0,0,1,0,0,0,0
Thüringen,0,0,0,2,12,17,1,7,0,1,0,0
Früheres Bundesgebiet,1,0,5,25,62,102,34,40,10,2,0,0
Neue Länder,0,2,7,101,293,357,54,94,15,5,1,0
Deutschland,1,2,12,126,355,459,88,134,26,7,1,0
