Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,3,"0.4",6,"1.4",1,"0.0",1,"0.5",8,"0.8",19,"3.2"
Bayern,0,"0.0",9,"11.6",16,"8.3",1,"0.1",14,"3.2",40,"23.1"
Berlin,30,"5.0",2,"0.3",0,"0.0",0,"0.0",11,"1.0",43,"6.3"
Brandenburg,170,"47.6",78,"23.3",31,"55.3",61,"16.5",235,"77.2",575,"219.8"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,7,"1.1",2,"1.0",1,"0.0",0,"0.0",11,"2.4",21,"4.5"
Mecklenburg-Vorpommern,23,"3.9",17,"1.6",0,"0.0",4,"7.1",34,"25.4",78,"37.9"
Niedersachsen,20,"8.1",8,"4.0",26,"17.0",0,"0.0",38,"4.6",92,"33.7"
Nordrhein-Westfalen,1,"2.0",5,"0.7",1,"1.5",0,"0.0",10,"2.3",17,"6.5"
Rheinland-Pfalz,9,"1.5",15,"2.6",2,"0.7",1,"0.2",18,"3.2",45,"8.1"
Saarland,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Sachsen,14,"9.6",10,"3.8",4,"7.2",4,"1.6",46,"33.7",78,"55.9"
Sachsen-Anhalt,28,"16.8",30,"11.8",5,"13.7",9,"4.2",86,"125.5",158,"172.0"
Schleswig-Holstein,1,"0.1",0,"0.0",0,"0.0",0,"0.0",3,"0.1",4,"0.2"
Thüringen,0,"0.0",17,"3.4",0,"0.0",8,"0.4",15,"6.3",40,"10.1"
Früheres Bundesgebiet,71,"18.2",47,"21.5",47,"27.6",3,"0.8",113,"17.6",281,"85.6"
Neue Länder,235,"77.9",152,"43.9",40,"76.2",86,"29.8",416,"268.0",929,"495.7"
Deutschland,306,"96.1",199,"65.4",87,"103.7",89,"30.5",529,"285.6",1.210,"581.3"
