Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","0.0","0.0","0.0","0.0","1.7","0.7","0.7","0.1","0.0","0.0","0.0"
Bayern,"0.0","0.0","5.5","6.9","1.2","6.8","2.1","0.4","0.2","0.0","0.0","0.0"
Berlin,"0.0","0.0","1.0","0.0","1.5","3.3","0.4","0.1","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","0.0","8.9","88.4","88.9","5.9","26.3","1.3","0.2","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.8","1.6","0.0","2.1","0.1","0.0","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.4","3.8","5.5","27.9","0.0","0.3","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.0","5.0","6.4","21.1","0.7","0.4","0.0","0.1","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","2.0","2.1","0.2","1.9","0.2","0.0","0.0","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","0.0","0.0","0.2","0.9","1.4","4.0","1.7","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.0","5.7","14.5","23.6","0.3","10.6","1.2","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.5","0.2","8.9","23.0","137.4","0.8","1.2","0.1","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","0.0","0.9","3.4","5.5","0.0","0.3","0.0","0.0","0.0","0.0"
Frueheres Bundesgebiet,"0.0","0.0","9.3","15.6","9.6","37.8","5.5","5.6","2.0","0.1","0.0","0.0"
Neue Laender,"0.0","0.5","0.6","28.1","134.8","283.2","7.0","38.6","2.6","0.2","0.0","0.0"
Deutschland,"0.0","0.6","9.9","43.8","144.4","321.0","12.5","44.2","4.6","0.3","0.0","0.0"
