Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,2,"0,4",7,"2,6",4,"2,0",1,"0,1",5,"0,6",19,"5,7"
Bayern,8,"3,1",18,"10,6",23,"18,5",2,"0,0",33,"8,2",84,"40,5"
Berlin,22,"1,4",2,"0,1",0,"0,0",1,"0,0",12,"3,2",37,"4,7"
Brandenburg,108,"24,0",89,"12,4",19,"6,7",51,"5,1",151,"50,0",418,"98,1"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,9,"4,0",12,"3,1",0,"0,0",1,"0,0",18,"4,8",40,"11,9"
Mecklenburg-Vorpommern,8,"1,8",5,"2,8",1,"0,3",0,"0,0",17,"1,6",31,"6,5"
Niedersachsen,5,"2,3",3,"0,4",86,"4,1",0,"0,0",8,"6,4",102,"13,2"
Nordrhein-Westfalen,4,"0,3",4,"56,3",3,"11,6",0,"0,0",14,"1,5",25,"69,6"
Rheinland-Pfalz,17,"4,8",8,"0,8",28,"40,7",1,"0,1",23,"6,2",77,"52,7"
Saarland,4,"2,4",0,"0,0",0,"0,0",0,"0,0",1,"1,0",5,"3,4"
Sachsen,14,"13,3",20,"4,3",3,"0,2",5,"3,2",27,"28,5",69,"49,5"
Sachsen-Anhalt,20,"2,8",21,"13,3",5,"1,9",3,"0,6",52,"16,3",101,"34,9"
Schleswig-Holstein,0,"0,0",2,"0,3",0,"0,0",0,"0,0",0,"0,0",2,"0,3"
Thüringen,0,"0,0",11,"0,7",0,"0,0",1,"0,3",10,"5,3",22,"6,3"
Früheres Bundesgebiet,71,"18,7",56,"74,1",144,"76,9",6,"0,2",114,"32,0",391,"202,0"
Neue Länder,150,"41,9",146,"33,5",28,"9,1",60,"9,2",257,"101,7",641,"195,4"
Deutschland,221,"60,6",202,"107,6",172,"86,0",66,"9,4",371,"133,7",1.032,"397,3"
