Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,"0,0","0,0","0,0","1,2","2,6","0,4","0,0","1,5","0,0","0,0","0,0","0,0"
Bayern,"0,1","3,8","9,0","8,5","9,4","1,9","5,5","2,2","0,0","0,0","0,0","0,1"
Berlin,"0,0","2,3","0,0","0,0","1,8","0,1","0,3","0,1","0,0","0,0","0,0","0,0"
Brandenburg,"0,0","1,5","12,3","6,9","33,2","13,0","6,7","22,5","2,1","0,0","0,0","0,0"
Bremen,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hamburg,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hessen,"0,0","1,0","5,2","0,7","3,6","0,2","0,1","1,1","0,0","0,0","0,0","0,0"
Mecklenburg-Vorpommern,"0,0","0,0","2,0","0,2","1,6","2,5","0,0","0,3","0,0","0,0","0,0","0,0"
Niedersachsen,"0,0","0,0","0,4","0,3","3,4","5,3","0,6","2,2","0,5","0,0","0,5","0,0"
Nordrhein-Westfalen,"0,0","0,0","0,6","66,4","1,6","0,2","0,7","0,1","0,0","0,0","0,0","0,0"
Rheinland-pfalz,"0,0","0,3","19,2","6,2","7,1","1,3","2,8","15,9","0,0","0,0","0,0","0,0"
Saarland,"0,0","0,0","1,0","0,0","0,8","0,0","0,0","1,6","0,0","0,0","0,0","0,0"
Sachsen,"0,0","1,0","5,3","9,4","26,8","5,3","0,1","1,6","0,0","0,0","0,0","0,0"
Sachsen-Anhalt,"0,1","1,8","5,5","6,4","9,3","1,8","1,7","8,2","0,1","0,0","0,0","0,0"
Schleswig-Holstein,"0,0","0,0","0,0","0,0","0,0","0,3","0,0","0,0","0,0","0,0","0,0","0,0"
Thuringen,"0,0","0,0","0,0","0,0","0,3","0,1","0,3","5,6","0,0","0,0","0,0","0,0"
Fruheres Bundesgebiet,"0,1","7,4","35,4","83,3","30,4","9,7","10,0","24,6","0,5","0,0","0,5","0,1"
Neue Lander,"0,1","4,3","25,1","22,9","71,2","22,6","8,8","38,1","2,2","0,0","0,0","0,0"
Deutschland,"0,2","11,7","60,5","106,1","101,6","32,3","18,8","62,8","2,8","0,0","0,5","0,1"
