Land;Anzahl;Flaeche (ha)
Baden-Württemberg;19;5,7
Bayern;84;40,5
Berlin;37;4,7
Brandenburg;418;98,1
Bremen;0;0,0
Hamburg;0;0,0
Hessen;40;11,9
Mecklenburg-Vorpommern;31;6,5
Niedersachsen;102;13,2
Nordrhein-Westfalen;25;69,6
Rheinland-Pfalz;77;52,7
Saarland;5;3,4
Sachsen;69;49,5
Sachsen-Anhalt;101;34,9
Schleswig-Holstein;2;0,3
Thüringen;22;6.3
BESONDERHEITEN;;
