Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,0,5,8,3,0,3,0,0,0,0
Bayern,1,6,12,17,24,3,3,14,2,0,0,2
Berlin,0,2,2,1,24,2,2,4,0,0,0,0
Brandenburg,0,10,26,17,156,56,35,114,4,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,2,5,2,13,2,3,13,0,0,0,0
Mecklenburg-Vorpommern,0,2,7,3,11,5,1,1,1,0,0,0
Niedersachsen,0,2,13,14,47,5,12,7,1,0,1,0
Nordrhein-Westfalen,0,1,3,3,5,3,6,4,0,0,0,0
Rheinland-Pfalz,0,1,9,7,7,2,6,45,0,0,0,0
Saarland,0,0,1,0,1,0,0,3,0,0,0,0
Sachsen,0,4,6,19,22,10,1,7,0,0,0,0
Sachsen-Anhalt,1,6,8,9,29,10,8,29,1,0,0,0
Schleswig-Holstein,0,0,0,0,0,2,0,0,0,0,0,0
Thüringen,0,0,0,0,2,3,2,15,0,0,0,0
Frueheres Bundesgebiet,1,14,45,49,129,22,32,93,3,0,1,2
Neue Laender,1,22,47,48,220,84,47,166,6,0,0,0
Deutschland,2,36,92,97,349,106,79,259,9,0,1,2
