Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bayern,0.0,0.0,2.6,2.5,3.3,0.0,0.2,1.0,0.0,0.0,0.0,0.0
Berlin,0.0,0.0,0.3,1.3,1.0,0.0,4.7,0.8,0.0,0.0,0.0,0.0
Brandenburg,0.0,1.5,7.9,13.9,13.9,0.5,23.1,98.1,1.7,1.3,0.0,0.0
Bremen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hessen,0.0,0.0,0.5,7.1,0.9,0.2,0.5,6.7,0.0,0.0,0.0,0.0
Mecklenburg-Vorpommern,0.0,0.0,0.6,7.1,4.6,0.9,3.7,15.1,0.2,0.0,0.0,0.0
Niedersachsen,0.2,0.1,0.5,0.1,1.9,0.1,4.9,76.6,0.4,0.1,0.0,0.0
Nordrhein-Westfalen,0.0,0.0,0.5,0.7,2.7,0.6,2.3,3.2,0.6,0.0,0.3,0.0
Rheinland-pfalz,0.0,0.0,0.1,0.0,0.2,0.2,1.3,1.2,0.2,0.0,0.0,0.0
Saarland,0.0,0.0,0.0,1.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Sachsen,0.0,0.0,6.3,30.8,0.5,0.5,4.1,10.0,0.0,0.5,0.0,0.0
Sachsen-Anhalt,0.0,0.0,1.4,4.0,0.6,0.6,15.9,136.9,22.2,0.6,0.0,0.0
Schleswig-Holstein,0.0,0.0,0.0,0.0,2.0,2.0,3.2,4.8,0.0,0.0,0.0,0.0
Thuringen,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0
Fruheres Bundesgebiet,0.2,0.1,4.4,13.5,3.1,3.1,17.2,94.3,1.1,0.1,0.3,0.0
Neue Lander,0.0,1.5,16.2,56.4,2.5,2.5,46.9,260.8,24.1,2.4,0.0,0.0
Deutschland,0.2,1.6,20.6,69.9,39.4,5.6,64.1,355.1,25.3,2.5,0.3,0.0
