Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230902
Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1983;summer;   815.9;   815.7;   726.9;   723.0;   723.5;   815.5;   740.8;   741.6;   694.4;   713.0;   815.9;   755.4;   734.9;   754.4;   743.3;   729.3;   743.5;
1984;summer;   540.0;   540.1;   637.8;   587.6;   544.6;   527.1;   471.6;   471.4;   514.0;   579.7;   494.9;   634.8;   525.9;   513.8;   519.7;   527.0;   545.1;
1985;summer;   620.4;   620.3;   692.5;   657.7;   562.6;   625.1;   562.8;   563.0;   551.6;   588.7;   591.1;   634.2;   605.9;   599.4;   596.7;   593.2;   611.5;
1986;summer;   702.3;   702.2;   664.4;   644.3;   612.6;   729.1;   624.1;   624.9;   616.0;   613.0;   677.1;   628.8;   624.4;   640.5;   625.7;   607.1;   646.3;
1987;summer;   535.2;   535.2;   531.0;   507.8;   466.6;   499.8;   439.6;   439.6;   435.2;   500.4;   431.0;   508.8;   495.2;   491.5;   482.8;   471.9;   486.5;
1988;summer;   607.4;   607.1;   645.0;   610.7;   557.9;   552.4;   474.7;   474.5;   479.6;   575.6;   483.3;   649.7;   585.3;   572.7;   573.2;   573.8;   563.7;
1989;summer;   717.7;   717.8;   657.6;   581.7;   641.6;   720.2;   639.0;   639.2;   645.5;   649.7;   659.3;   700.6;   653.3;   683.9;   668.5;   649.1;   648.0;
1990;summer;   663.1;   663.0;   677.7;   664.9;   613.9;   622.3;   565.0;   565.0;   584.2;   637.1;   593.8;   697.3;   660.9;   624.8;   616.4;   605.8;   629.5;
1991;summer;   699.9;   699.1;   735.4;   676.8;   645.2;   653.0;   605.8;   606.4;   586.1;   672.8;   647.8;   730.2;   666.6;   662.3;   651.3;   637.4;   658.9;
1992;summer;   774.3;   773.9;   633.7;   641.5;   613.0;   805.2;   646.0;   646.9;   594.6;   596.5;   725.2;   641.9;   694.2;   697.9;   659.8;   611.8;   663.1;
1993;summer;   583.7;   583.6;   646.9;   614.7;   610.2;   590.9;   519.6;   519.4;   545.4;   643.3;   557.9;   700.0;   595.6;   577.0;   571.5;   564.6;   588.3;
1994;summer;   774.2;   773.0;   722.1;   732.3;   709.5;   809.0;   716.3;   716.8;   668.5;   714.7;   775.7;   732.8;   727.5;   744.5;   719.8;   688.7;   729.7;
1995;summer;   751.3;   751.1;   628.4;   614.6;   686.6;   786.5;   727.4;   728.2;   684.1;   671.2;   791.6;   704.9;   693.9;   726.1;   695.4;   656.8;   688.9;
1996;summer;   595.5;   595.1;   670.3;   642.9;   609.6;   602.3;   567.9;   567.9;   575.6;   650.4;   600.4;   683.6;   577.3;   576.0;   571.0;   564.8;   608.5;
1997;summer;   737.8;   737.3;   602.3;   615.7;   635.6;   765.9;   685.4;   686.1;   624.7;   622.8;   760.0;   647.1;   655.9;   689.2;   653.2;   607.8;   658.8;
1998;summer;   580.0;   579.6;   632.5;   602.1;   549.6;   542.8;   502.7;   503.1;   491.6;   562.9;   560.1;   606.0;   587.4;   551.7;   543.7;   533.7;   561.7;
1999;summer;   668.6;   668.3;   630.3;   605.6;   640.8;   709.4;   643.4;   643.9;   638.1;   639.8;   701.6;   679.0;   586.1;   630.8;   610.7;   585.4;   636.6;
2000;summer;   572.9;   572.5;   699.3;   677.9;   606.1;   535.1;   511.3;   511.2;   551.6;   644.5;   539.9;   710.4;   586.4;   573.9;   576.1;   578.8;   600.2;
2001;summer;   625.4;   625.1;   707.8;   677.7;   641.5;   637.8;   607.3;   607.3;   616.1;   658.5;   641.5;   684.0;   604.8;   615.0;   614.1;   613.0;   643.2;
2002;summer;   605.9;   605.7;   641.7;   639.8;   544.0;   628.6;   535.1;   535.8;   501.8;   533.6;   619.3;   566.9;   578.4;   566.7;   551.4;   532.1;   583.9;
2003;summer;   779.9;   779.1;   844.6;   845.7;   814.4;   755.1;   731.4;   730.9;   744.4;   810.1;   735.4;   837.9;   797.6;   796.9;   802.4;   809.4;   793.3;
2004;summer;   623.0;   622.6;   616.2;   623.8;   571.8;   598.5;   558.1;   557.9;   556.5;   584.1;   579.6;   589.7;   618.7;   601.6;   594.9;   586.4;   595.2;
2005;summer;   655.4;   655.1;   656.1;   621.9;   615.7;   661.0;   576.9;   577.2;   595.3;   643.9;   619.5;   665.0;   636.7;   631.3;   626.4;   620.2;   624.5;
2006;summer;   772.7;   772.1;   739.9;   719.9;   704.7;   785.9;   711.5;   712.1;   685.5;   715.8;   763.7;   724.6;   726.1;   747.4;   730.9;   710.0;   728.2;
2007;summer;   604.0;   603.7;   616.1;   641.4;   553.4;   576.1;   533.4;   533.3;   521.2;   568.5;   573.1;   577.1;   613.6;   592.5;   585.8;   577.4;   585.5;
2008;summer;   683.9;   683.3;   638.9;   639.3;   621.9;   709.0;   615.3;   615.4;   580.7;   608.0;   669.1;   603.1;   645.6;   674.5;   658.2;   637.7;   639.4;
2009;summer;   687.3;   687.1;   683.7;   641.8;   624.4;   709.1;   661.6;   661.9;   632.9;   668.4;   691.8;   714.9;   611.5;   661.4;   632.9;   597.0;   656.8;
