Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,7,"0,7",11,"5,6",0,"0,0",0,"0,0",4,"0,7",22,"7,0"
Bayern,2,"0,2",27,"9,0",6,"9,1",0,"0,0",25,"2,4",60,"20,7"
Berlin,18,"11,8",7,"1,5",0,"0,0",5,"2,5",7,"3,4",37,"19,1"
Brandenburg,67,"11,7",64,"151,6",11,"10,1",42,"7,1",210,"145,3",394,"325,7"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,14,"1,7",3,"0,0",0,"0,0",0,"0,0",8,"4,4",25,"6,1"
Mecklenburg-Vorpommern,12,"2,2",9,"2,9",1,"0,8",1,"0,0",21,"9,0",44,"14,9"
Niedersachsen,6,"0,6",6,"3,4",12,"2,0",2,"0,1",19,"6,6",45,"12,7"
Nordrhein-Westfalen,0,"0,0",14,"8,1",4,"0,7",0,"0,0",7,"2,0",25,"10,8"
Rheinland-Pfalz,3,"0,6",11,"2,0",1,"0,1",5,"0,4",12,"4,7",32,"7,7"
Saarland,0,"0,0",1,"1,3",0,"0,0",0,"0,0",0,"0,0",1,"1,3"
Sachsen,14,"4,4",43,"8,3",4,"1,7",15,"2,1",82,"14,0",158,"30,5"
Sachsen-Anhalt,6,"1,0",9,"3,8",0,"0,0",4,"2,9",37,"9,3",56,"17,0"
Schleswig-Holstein,1,"0,0",4,"0,5",0,"0,0",1,"0,0",0,"0,0",6,"0,6"
Thüringen,4,"0,5",7,"3,8",3,"1,8",1,"0,1",10,"1,8",25,"8,0"
Früheres Bundesgebiet,51,"15,7",84,"31,4",23,"11,9",13,"3,0",82,"24,2",253,"86,0"
Neue Länder,103,"19,7",132,"170,4",19,"14,4",63,"12,1",360,"179,4",677,"396,0"
Deutschland,154,"35,4",216,"201,8",42,"26,2",76,"15,1",442,"203,6",930,"482,1"
