Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Wuerttemberg,"5.2","1.8","22","7.0"
Bayern,"20.2","0.5","60","20.7"
Berlin,"15.5","3.6","37","19.1"
Brandenburg,"279.3","46.5","394","325.7"
Bremen,"0.0","0.0","0","0.0"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"2.7","3.4","25","6.1"
Mecklenburg-Vorpommern,"14.0","0.9","44","14.9"
Niedersachsen,"9.9","2.8","45","12.7"
Nordrhein-Westfalen,"10.6","0.3","25","10.8"
Rheinland-Pfalz,"6.4","1.3","32","7.7"
Saarland,"1.3","0.0","1","1.3"
Sachsen,"24.7","5.7","158","30.5"
Sachsen-Anhalt,"15.5","1.5","56","17.0"
Schleswig-Holstein,"0.4","0.1","6","0.6"
Thueringen,"3.8","4.2","25","8.0"
Frueheres Bundesgebiet,"72.3","13.7","253","86.0"
Neue Laender,"337.3","58.8","677","396.0"
Deutschland,"409.6","72.5","930","482.1"
