Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,7,"0,1",12,"1,9",0,"0,0",0,"0,0",9,"1,1",28,"3,2"
Bayern,0,"0,0",6,"37,1",48,"22,6",0,"0,0",1,"0,4",55,"60,1"
Berlin,0,"0,0",4,"1,3",0,"0,0",0,"0,0",0,"0,0",4,"1,3"
Brandenburg,100,"31,6",50,"15,1",14,"67,1",11,"3,2",73,"40,4",248,"157,4"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,16,"0,8",2,"0,0",0,"0,0",0,"0,0",19,"1,3",37,"2,1"
Mecklenburg-Vorpommern,7,"4,4",6,"1,3",2,"1,1",1,"0,0",9,"0,9",25,"7,7"
Niedersachsen,3,"0,2",3,"0,3",5,"0,6",0,"0,0",22,"2,6",33,"3,7"
Nordrhein-Westfalen,5,"0,7",6,"0,5",1,"1,3",0,"0,0",9,"0,6",21,"3,1"
Rheinland-Pfalz,12,"1,7",3,"0,4",1,"0,0",0,"0,0",3,"0,2",19,"2,4"
Saarland,0,"0,0",0,"0,0",0,"0,0",0,"0,0",3,"4,0",3,"4,0"
Sachsen,2,"0,2",39,"2,3",1,"0,0",0,"0,0",10,"2,9",52,"5,4"
Sachsen-Anhalt,4,"0,2",6,"4,0",9,"8,2",2,"0,6",48,"17,8",69,"30,8"
Schleswig-Holstein,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Thüringen,2,"0,1",3,"0,2",1,"0,1",0,"0,0",8,"1,6",14,"2,0"
Früheres Bundesgebiet,4 3,"3,5",36,"41,5",55,"24,5",0,"0,0",66,"10,3",200,"79,8"
Neue Länder,115,"36,5",104,"22,8",27,"76,5",14,"3,8",148,"63,6",408,"203,2"
Deutschland,1 58,"0,0",1 0,"6 ,3",8 2,"101,0",1,"3,8",21,"73,8",608,"283,0"
