,"Jan","Feb","Mär","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez"
Baden-Württemberg,"0.0","0.0","0.0","0.0","0.2","1.2","0.3","0.3","1.2","0.0","0.0","0.0"
Bayern,"0.0","0.0","0.0","4.0","3.5","6.0","6.5","4.1","0.5","0.0","0.0","35.5"
Berlin,"0.0","0.0","0.0","0.0","1.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","2.9","16.4","56.6","13.9","5.2","2.3","60.1","0.0","0.0","0.2"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.1","0.4","1.1","0.0","0.2","0.2","0.1","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.0","1.3","5.7","0.0","0.1","0.0","0.7","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.0","0.3","0.3","0.0","1.8","0.4","0.6","0.3","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.0","0.0","0.8","0.1","0.7","0.1","0.1","1.3","0.0","0.0"
Rheinland-Pfalz,"0.1","0.0","0.0","0.0","0.3","0.0","0.2","0.6","1.2","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.1","0.0","1.4","0.4","0.0","0.6","2.9","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.1","4.3","3.7","5.3","2.3","4.1","11.1","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thüringen,"0.0","0.0","0.0","0.0","0.2","0.0","0.1","0.9","0.8","0.0","0.0","0.0"
Früheres Bundesgebiet,"0.1","0.0","0.1","4.7","11.4","7.2","9.7","5.8","3.6","1.6","0.0","35.5"
Neue Länder,"0.0","0.0","3.1","22.0","67.5","19.6","7.6","7.8","75.4","0.0","0.0","0.2"
Deutschland,"0.1","0.0","3.1","26.7","79.0","26.9","17.3","13.6","79.1","1.6","0.0","35.7"
