Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"24.0","7.7","137","31.7"
Bayern,"146.4","58.4","182","204.8"
Berlin,"15.9","0.0","40","15.9"
Brandenburg,"328.1","288.8","718","616.9"
Bremen,"0.0","0.0","0","0.0"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"16.6","27.3","216","43.9"
Mecklenburg-Vorpommern,"54.8","12.9","130","67.7"
Niedersachsen,"42.7","10.1","199","52.8"
Nordrhein-Westfalen,"22.3","10.8","166","33.1"
Rheinland-Pfalz,"21.1","34.7","153","55.8"
Saarland,"5.3","17.5","24","22.8"
Sachsen,"31.2","15.2","265","46.4"
Sachsen-Anhalt,"61.2","43.3","188","104.5"
Schleswig-Holstein,"1.1","0.3","13","1.4"
Thüringen,"11.6","5.8","93","17.5"
Früheres Bundesgebiet,"295.3","166.9","1130","462.2"
Neue Länder,"486.9","366.0","1394","852.9"
Deutschland,"782.2","532.8","2524","1315,1"
