Land;Anzahl;Flaeche (ha)
Baden-Württemberg;137;31,7
Bayern;182;204,8
Berlin;40;15,9
Brandenburg;718;616,9
Bremen;0;0,0
Hamburg;0;0,0
Hessen;216;43,9
Mecklenburg-Vorpommern;130;67,7
Niedersachsen;199;52,8
Nordrhein-Westfalen;166;33,1
Rheinland-Pfalz;153;55,8
Saarland;24;22,8
Sachsen;265;46,4
Sachsen-Anhalt;188;104,5
Schleswig-Holstein;13;1,4
Thüringen;93;17,5
BESONDERHEITEN;;
