Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","0.0","1.2","7.0","0.7","0.7","3.8","16.9","1.0","0.4","0.0","0.0"
Bayern,"0.0","0.4","25.9","71.7","27.4","18.5","23.8","34.6","1.1","0.5","1.0","0.0"
Berlin,"0.0","0.0","4.5","4.3","0.3","3.8","0.4","2.6","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","75.7","142.2","49.8","57.2","39.6","241.8","10.4","0.2","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.5","3.4","15.9","2.8","0.3","1.3","13.0","6.7","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","10.7","34.5","2.7","6.4","2.6","10.7","0.1","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","4.1","12.0","1.6","2.9","11.7","20.3","0.2","0.0","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.2","1.6","17.0","1.7","0.5","4.6","6.7","0.8","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","14.1","8.1","4.3","2.8","15.2","8.0","3.4","0.0","0.0","0.0"
Saarland,"0.0","0.0","2.5","18.0","0.0","0.0","0.7","1.6","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","3.5","11.6","4.5","5.0","11.3","7.8","2.4","0.1","0.1","0.0"
Sachsen-Anhalt,"0.0","0.0","5.0","27.0","2.3","5.4","20.7","39.2","4.8","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.2","0.4","0.8","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","2.6","3.5","3.3","0.5","1.8","4.7","0.6","0.6","0.0","0.0"
Frueheres Bundesgebiet,"0.0","1.1","57.4","153.9","38.9","29.5","61.8","104.5","13.2","0.9","1.0","0.0"
Neue Laender,"0.0","0.0","97.6","218.8","62.6","74.6","75.9","304.1","18.3","0.9","0.1","0.0"
Deutschland,"0.0","1.1","154.9","372.7","101.6","104.2","137.8","408.6","31.4","1.8","1.1","0.0"
