Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,0,8,17,5,8,15,72,9,3,0,0
Bayern,0,1,19,40,15,18,20,55,8,4,2,0
Berlin,0,0,6,12,2,10,4,6,0,0,0,0
Brandenburg,0,1,39,114,101,163,78,169,50,3,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,1,14,36,10,3,16,132,2,1,1,0
Mecklenburg-Vorpommern,0,0,13,33,15,17,11,39,2,0,0,0
Niedersachsen,0,0,8,34,12,21,48,73,3,0,0,0
Nordrhein-Westfalen,0,1,7,43,5,10,24,72,4,0,0,0
Rheinland-Pfalz,0,0,19,30,5,10,25,45,18,1,0,0
Saarland,0,0,9,11,0,0,1,3,0,0,0,0
Sachsen,0,0,8,30,36,54,40,71,18,2,5,1
Sachsen-Anhalt,0,0,13,29,14,27,28,67,10,0,0,0
Schleswig-Holstein,0,0,,,,,000139.00,,,,0,0
Thueringen,0,0,4,13,6,13,18,34,4,1,0,0
Frueheres Bundesgebiet,0,3,90,223,54,81,156,467,44,9,3,0
Neue Laender,0,1,77,219,172,274,175,380,84,6,5,1
Deutschland,0,4,167,442,226,355,331,847,128,15,8,1
