Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","1.1","10.7","2.5","5.0","0.0","0.2","0.3","0.1","0.0","0.0","0.0"
Bayern,"0.0","6.0","6.2","15.5","9.8","1.2","3.0","1.5","0.0","0.0","0.0","0.0"
Berlin,"0.0","0.0","0.0","0.0","0.0","1.5","0.0","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","15.2","13.3","26.7","5.3","1.5","5.9","10.0","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","7.8","1.7","0.3","0.0","0.5","0.2","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.2","0.2","2.1","0.1","0.3","0.1","0.9","0.0","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.5","0.4","39.5","4.6","0.0","24.2","0.5","0.0","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.5","0.3","0.1","0.1","0.1","0.7","0.0","0.0","0.0","0.0"
Rheinland-Pfalz,"0.0","0.1","1.7","0.7","1.7","0.0","0.5","0.9","0.5","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.8","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","5.7","1.3","6.0","0.1","0.1","1.0","0.0","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.3","0.9","8.4","0.2","1.0","1.6","0.3","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","0.1","4.7","1.6","0.0","0.0","0.1","0.1","0.0","0.0","0.0"
Frueheres Bundesgebiet,"0.0","7.2","28.0","21.1","56.4","7.3","4.5","27.6","1.1","0.0","0.0","0.0"
Neue Laender,"0.2","0.2","23.4","20.4","43.0","5.6","3.4","8.6","10.4","0.0","0.0","0.0"
Deutschland,"0.2","7.4","51.4","41.5","99.4","13.0","7.9","36.2","11.6","0.0","0.0","0.0"
