Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"0,5","2,0",25,"2,6"
Bayern,"29,7","13,6",51,"43,3"
Berlin,"0,0","0,0",0,"0,0"
Brandenburg,"24,7","3,3",123,"27,9"
Bremen,"0,0","0,0",0,"0,0"
Hamburg,"0,0","0,0",0,"0,0"
Hessen,"5,7","3,6",34,"9,4"
Mecklenburg-Vorpommern,"2,2","0,0",16,"2,2"
Niedersachsen,"9,9","0,5",53,"10,4"
Nordrhein-Westfalen,"3,2","3,8",22,"7,0"
Rheinland-Pfalz,"2,7","0,4",15,"3,1"
Saarland,"0,0","0,4",2,"0,4"
Sachsen,"3,2","3,9",49,"7,0"
Sachsen-Anhalt,"4,7","1,2",25,"5,9"
Schleswig-Holstein,"0,3","0,0",2,"0,3"
Thüringen,"0,4","0,1",12,"0,5"
Früheres Bundesgebiet,"52,0","24,4",204,"76,4"
Neue Länder,"35,1","8,5",225,"43,6"
Deutschland,"87,1","32,9",429,"120,0"
