Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Wuerttemberg,8,"0.4",12,"0.8",0,"0.0",1,"0.8",4,"0.7",25,"2.6"
Bayern,2,"0.7",8,"0.5",29,"39.8",1,"0.0",11,"2.4",51,"43.3"
Berlin,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Brandenburg,37,"3.9",32,"9.9",3,"0.2",8,"1.6",43,"12.4",123,"27.9"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,5,"0.2",5,"0.0",0,"0.0",0,"0.0",24,"9.1",34,"9.4"
Mecklenburg-Vorpommern,4,"0.1",8,"1.6",0,"0.0",1,"0.0",3,"0.5",16,"2.2"
Niedersachsen,7,"0.1",1,"0.0",11,"1.6",2,"0.0",32,"8.7",53,"10.4"
Nordrhein-Westfalen,5,"0.6",8,"2.6",0,"0.0",0,"0.0",9,"3.8",22,"7.0"
Rheinland-Pfalz,0,"0.0",6,"1.4",2,"0.1",0,"0.0",7,"1.6",15,"3.1"
Saarland,1,"0.0",0,"0.0",0,"0.0",0,"0.0",1,"0.4",2,"0.4"
Sachsen,14,"5.1",14,"1.2",0,"0.0",3,"0.1",18,"0.6",49,"7.0"
Sachsen-Anhalt,1,"0.5",6,"1.0",3,"1.1",0,"0.0",15,"3.3",25,"5.9"
Schleswig-Holstein,0,"0.0",0,"0.0",0,"0.0",0,"0.0",2,"0.3",2,"0.3"
Thueringen,0,"0.0",3,"0.2",1,"0.1",1,"0.0",7,"0.3",12,"0.5"
Frueheres Bundesgebiet,28,"1.9",40,"5.2",42,"41.5",4,"0.8",90,"26.9",204,"76.4"
Neue Laender,56,"9.6",63,"13.9",7,"1.4",13,"1.7",86,"17.1",225,"43.6"
Deutschland,8 4,"11.5",1 03,"19.1",4 9,"42.9",17,"2.5",176,"44.0",429,"120.0"
