Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,3,8,3,7,2,1,0,1,0,0
Bayern,0,0,8,6,10,10,13,3,0,1,0,0
Berlin,0,0,0,0,0,0,0,0,0,0,0,0
Brandenburg,0,2,27,9,4,38,37,2,3,0,0,1
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,9,17,0,8,0,0,0,0,0,0
Mecklenburg-Vorpommern,0,0,2,2,4,2,5,1,0,0,0,0
Niedersachsen,0,1,13,7,5,11,7,3,2,4,0,0
Nordrhein-Westfalen,0,0,6,2,6,1,4,1,1,1,0,0
Rheinland-Pfalz,1,0,2,3,2,6,1,0,0,0,0,0
Saarland,0,0,1,0,0,0,0,1,0,0,0,0
Sachsen,0,3,7,13,2,8,10,3,1,0,1,1
Sachsen-Anhalt,0,2,4,3,4,8,3,1,0,0,0,0
Schleswig-Holstein,0,0,0,0,0,1,1,0,0,0,0,0
Thüringen,0,0,3,3,1,2,3,0,0,0,0,0
Frueheres Bundesgebiet,1,1,42,43,26,44,28,9,3,7,0,0
Neue Laender,0,7,43,30,15,58,58,7,4,0,1,2
Deutschland,1,8,85,73,41,102,86,16,7,7,1,2
