Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"2.14","8.81",19,"10.95"
Bayern,"75.24","51.70",164,"126.94"
Berlin,"10.89","3.02",22,"13.91"
Brandenburg,"805.23","583.40",429,"1388.63"
Bremen,"0.00","0.00",0,"0.00"
Hamburg,"0.00","0.00",0,"0.00"
Hessen,"13.98","5.78",86,"19.76"
Mecklenburg-Vorpommern,"982.86","0.72",75,"983.58"
Niedersachsen,"19.73","8.65",285,"28.38"
Nordrhein-Westfalen,"18.80","9.00",95,"27.80"
Rheinland-Pfalz,"2.51","5.85",35,"8.36"
Saarland,"1.40","2.40",6,"3.80"
Sachsen,"27.18","29.61",155,"56.79"
Sachsen-Anhalt,"18.16","2.41",106,"20.57"
Schleswig-Holstein,"0.00","0.00",0,"0.00"
Thüringen,"7.30","14.33",46,"21.63"
Früheres Bundesgebiet,"144.69","95.21",712,"239.90"
Neue Länder,"1840.73","630.47",811,"2471.20"
Deutschland,"1985.42","725.68",1523,"2711.10"
