Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Wuerttemberg,2,"0.40",6,"2.95",2,"4.50",0,"0.00",9,"3.10",19,"10.95"
Bayern,17,"2.01",14,"3.36",102,"110.80",2,"0.01",29,"10.76",164,"126.94"
Berlin,8,"10.00",10,"2.02",0,"0.00",0,"0.00",4,"1.89",22,"13.91"
Brandenburg,84,"102.03",88,"62.96",23,"857.27",45,"13.50",189,"352.87",429,"1388.63"
Bremen,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hamburg,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Hessen,26,"1.83",5,"3.13",0,"0.00",2,"2.00",53,"12.80",86,"19.76"
Mecklenburg-Vorpommern,19,"2.24",26,"5.06",4,"0.64",3,"0.07",23,"975.57",75,"983.58"
Niedersachsen,4,"0.07",42,"4.69",17,"6.64",25,"0.94",197,"16.04",285,"28.38"
Nordrhein-Westfalen,8,"0.80",22,"4.60",10,"1.70",2,"0.30",53,"20.40",95,"27.80"
Rheinland-Pfalz,10,"2.85",7,"1.97",0,"0.00",0,"0.00",18,"3.54",35,"8.36"
Saarland,2,"0.05",0,"0.00",0,"0.00",0,"0.00",4,"3.75",6,"3.80"
Sachsen,23,"4.95",111,"35.18",0,"0.00",4,"0.26",17,"16.40",155,"56.79"
Sachsen-Anhalt,37,"6.65",11,"4.68",0,"0.00",7,"1.54",51,"7.70",106,"20.57"
Schleswig-Holstein,0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00",0,"0.00"
Thueringen,4,"0.16",13,"7.13",1,"0.10",3,"0.05",25,"14.19",46,"21.63"
Frueheres Bundesgebiet,77,"18.01",106,"22.72",131,"123.64",31,"3.25",367,"72.28",712,"239.90"
Neue Laender,167,"116.03",249,"115.01",28,"858.01",62,"15.42",305,"1366.73",811,"2471.20"
Deutschland,244,"134.04",355,"137.73",159,"981.65",93,"18.67",672,"1439.01",1.523,"2711.10"
