,Jan,Feb,Mär,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,2,2,3,0,2,8,2,0,0,0,0
Bayern,0,1,13,42,17,19,51,16,3,2,0,0
Berlin,0,0,0,1,6,11,3,1,0,0,0,0
Brandenburg,0,2,2,94,24,165,58,54,27,0,1,2
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,3,0,34,1,12,25,6,4,1,0,0
Mecklenburg-Vorpommern,0,1,1,18,4,25,13,8,4,0,0,1
Niedersachsen,2,4,3,63,26,48,84,40,14,0,1,0
Nordrhein-Westfalen,0,1,3,17,5,19,25,21,4,0,0,0
Rheinland-Pfalz,0,0,2,2,1,5,15,7,3,0,0,0
Saarland,0,0,0,3,1,0,1,1,0,0,0,0
Sachsen,0,1,2,46,5,39,33,19,7,3,0,0
Sachsen-Anhalt,0,1,3,10,2,28,26,31,5,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,0,1,0,17,2,7,9,6,3,0,0,1
Früheres Bundesgebiet,2,11,23,165,57,116,212,94,28,3,1,0
Neue Länder,0,6,8,185,37,264,139,118,46,3,1,4
Deutschland,2,17,31,350,94,380,351,212,74,6,2,4
