Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,"0.0","0.0","0.0","1.0","0.0","8.5","0.0","0.0","0.3","0.0","0.0","0.0"
Bayern,"0.0","0.0","0.2","4.9","10.1","9.2","4.0","0.0","0.0","0.0","0.0","0.0"
Berlin,"1.0","0.0","0.0","0.9","0.0","0.4","0.1","0.0","0.1","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","1.5","23.2","5.5","21.5","4.3","0.0","0.6","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.7","0.1","0.2","0.6","0.0","0.0","0.0","0.1","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","1.0","4.1","1.0","0.7","27.9","0.0","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.4","3.8","8.1","0.2","1.2","1.3","0.0","0.0","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.0","1.7","0.8","0.9","0.0","0.2","0.0","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","0.0","0.0","0.1","0.7","0.1","0.1","0.3","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.0","2.1","6.6","0.4","0.4","0.0","0.2","1.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.3","4.7","1.1","6.4","2.6","0.0","2.5","0.6","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thuringen,"0.0","0.0","0.0","0.7","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0"
Fruheres Bundesgebiet,"1.0","0.0","1.3","12.4","19.3","20.5","5.4","1.6","0.7","0.1","0.0","0.0"
Neue Lander,"0.0","0.0","2.8","34.7","14.4","29.1","35.1","0.1","3.2","1.7","0.0","0.0"
Deutschland,"1.0","0.0","4.1","47.1","33.7","49.6","40.5","1.7","3.9","1.8","0.0","0.0"
