Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Wuerttemberg,"0.6","9.2","10","9.8"
Bayern,"14.2","14.2","33","28.4"
Berlin,"2.3","0.3","19","2.5"
Brandenburg,"42.8","13.7","185","56.5"
Bremen,"0.0","0.0","0","0.0"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"1.0","0.8","10","1.8"
Mecklenburg-Vorpommern,"34.5","0.2","42","34.7"
Niedersachsen,"8.6","6.5","20","15.0"
Nordrhein-Westfalen,"3.3","0.2","17","3.5"
Rheinland-Pfalz,"1.1","0.1","10","1.2"
Saarland,"0.0","0.0","0","0.0"
Sachsen,"3.7","6.9","50","10.7"
Sachsen-Anhalt,"11.9","6.2","85","18.2"
Schleswig-Holstein,"0.0","0.0","0","0.0"
Thueringen,"0.2","0.9","15","1.1"
Frueheres Bundesgebiet,"31.0","31.3","119","62.3"
Neue Laender,"93.1","28.0","377","121.1"
Deutschland,"124.2","59.3","496","183.4"
