Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,0,"0.0",7,"4.5",0,"0.0",0,"0.0",11,"2.2",18,"6.7"
Bayern,2,"0.0",10,"4.3",64,"20.8",0,"0.0",26,"9.1",102,"34.2"
Berlin,7,"1.1",1,"0.0",0,"0.0",0,"0.0",1,"0.0",9,"1.1"
Brandenburg,71,"11.1",67,"13.3",12,"254.7",13,"1.9",90,"17.5",253,"298.3"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,6,"0.2",3,"0.4",0,"0.0",2,"0.0",15,"0.4",26,"1.1"
Mecklenburg-Vorpommern,4,"1.8",2,"0.2",1,"1.0",0,"0.0",21,"3.6",28,"6.5"
Niedersachsen,15,"1.9",0,"0.0",9,"4.1",3,"4.1",104,"59.1",131,"69.2"
Nordrhein-Westfalen,0,"0.0",1,"2.7",5,"0.5",0,"0.0",18,"4.6",24,"7.8"
Rheinland-Pfalz,6,"5.8",5,"6.7",2,"1.0",0,"0.0",8,"1.4",21,"14.9"
Saarland,1,"3.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",1,"3.0"
Sachsen,20,"1.0",15,"1.8",0,"0.0",5,"0.1",37,"13.8",77,"16.7"
Sachsen-Anhalt,28,"2.7",13,"23.4",10,"24.7",3,"1.2",16,"9.3",70,"61.2"
Schleswig-Holstein,1,"0.0",0,"0.0",0,"0.0",0,"0.0",2,"0.4",3,"0.4"
Thüringen,6,"0.2",2,"0.5",0,"0.0",1,"0.0",8,"0.1",17,"0.9"
Früheres Bundesgebiet,38,"12.1",27,"18.6",80,"26.4",5,"4.1",185,"77.2",335,"138.3"
Neue Länder,129,"16.7",99,"39.2",23,"280.4",22,"3.2",172,"44.2",445,"383.6"
Deutschland,167,"28.8",126,"57.8",103,"306.8",27,"7.3",357,"121.4",780,"521,9"
