,Jan,Feb,Mär,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,3,7,0,4,1,0,2,1,0,0
Bayern,0,0,3,23,26,16,18,14,1,1,0,0
Berlin,0,0,0,2,0,0,0,7,0,0,0,0
Brandenburg,0,0,4,29,4,63,150,3,0,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,1,7,0,3,15,0,0,0,0,0
Mecklenburg-Vorpommern,0,0,0,4,1,3,19,1,0,0,0,0
Niedersachsen,0,0,3,23,12,30,46,15,1,1,0,0
Nordrhein-Westfalen,0,0,1,3,1,6,10,3,0,0,0,0
Rheinland-Pfalz,0,0,1,5,3,3,8,1,0,0,0,0
Saarland,0,0,0,0,0,0,1,0,0,0,0,0
Sachsen,0,0,2,13,4,12,44,1,0,1,0,0
Sachsen-Anhalt,0,0,0,8,1,9,45,3,4,0,0,0
Schleswig-Holstein,0,0,0,0,0,2,1,0,0,0,0,0
Thüringen,0,0,0,4,0,9,4,0,0,0,0,0
Früheres Bundesgebiet,0,0,12,70,42,64,100,40,4,3,0,0
Neue Länder,0,0,6,58,10,96,262,8,4,1,0,0
Deutschland,0,0,18,128,52,160,362,48,8,4,0,0
