Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,"0.00","1.00","0.45","1.41","0.00","1.55","0.60","0.00","0.00","0.10","0.00","0.00"
Bayern,"0.01","7.50","0.70","6.18","10.56","1.34","7.90","8.35","0.00","0.00","0.00","0.00"
Berlin,"0.00","0.00","0.00","0.00","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Brandenburg,"0.00","0.00","5.04","12.46","259.43","7.27","0.09","1.11","0.00","0.00","0.00","0.00"
Bremen,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hamburg,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hessen,"0.00","0.00","0.73","2.75","1.85","0.74","0.01","0.00","0.00","0.00","0.00","0.00"
Mecklenburg-Vorpommern,"0.00","0.00","0.00","0.00","0.04","0.02","0.00","0.00","0.00","0.00","0.00","0.00"
Niedersachsen,"0.00","0.00","4.92","1.22","1.50","0.20","0.01","1.30","0.05","0.00","0.00","0.00"
Nordrhein-Westfalen,"0.00","0.00","0.20","21.55","1.97","0.40","0.26","0.50","0.01","0.00","0.00","0.00"
Rheinland-Pfalz,"0.00","0.00","5.00","0.87","0.15","0.58","1.85","0.02","0.35","0.00","0.00","0.00"
Saarland,"0.00","0.00","0.00","0.00","0.08","0.00","0.20","0.00","0.80","0.00","0.00","0.00"
Sachsen,"0.00","0.00","0.02","0.25","1.90","1.16","1.47","0.11","0.00","0.00","0.00","0.00"
Sachsen-Anhalt,"0.00","0.00","3.00","0.00","0.35","0.67","0.00","0.39","0.70","0.01","0.00","0.00"
Schleswig-Holstein,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Thüringen,"0.00","0.00","0.20","0.00","0.26","0.49","0.01","0.10","0.11","0.00","0.00","0.00"
Frueheres Bundesgebiet,"0.01","8.50","12.00","33.98","16.51","4.81","10.83","10.17","1.21","0.10","0.00","0.00"
Neue Laender,"0.00","0.00","8.26","12.71","261.98","9.61","1.57","1.71","0.81","0.01","0.00","0.00"
Deutschland,"0.01","8.50","20.26","46.69","278.49","14.42","12.40","11.88","2.02","0.11","0.00","0.00"
